Interest Rate Securities Market - Weekly,,,,,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:07 Friday 11/6/2010. Processed 19:26 Friday 11/6/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol 000's,Val 000's,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn Date,Conv/Mat. Date,Conv/Mat. Value,YTM Conv
Black Ridge Min,BRD,0.008,-0.20,-20,,,,,,,,,,,,
Lincoln Min opt jun10,LMLO,0.004,-0.10,-20,,,,,,,,,,,,
Millennium Min opt feb13,MOYOA,0.008,-0.20,-20,,,,,,,,,,,,
Resource Min Corp,RMI,0.004,-0.10,-20,,,,,,,,,,,,
Riviera Res opt dec14,RVEO,0.08,-2.00,-20,,,,,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.018,-0.40,-18.18,,,,,,,,,,,,
Fairstar Res opt aug11,FASOA,0.028,-0.60,-17.65,,,,,,,,,,,,
Paramount Min,PCP,0.08,-1.70,-17.53,,,,,,,,,,,,
Voyager Res opt sep11,VORO,0.005,-0.10,-16.67,,,,,,,,,,,,
Avanco Res Ltd,AVB,0.016,-0.30,-15.79,,,,,,,,,,,,
Mantle Min Corp,MNM,0.022,-0.40,-15.38,,,,,,,,,,,,
Victory West Moly,VWM,0.115,-2.00,-14.81,,,,,,,,,,,,
Central Asia Res,CVR,0.03,-0.50,-14.29,,,,,,,,,,,,
Sthn Uranium,SNU,0.082,-1.30,-13.68,,,,,,,,,,,,
Panax Geothermal opt dec11,PAXO,0.013,-0.20,-13.33,,,,,,,,,,,,
Ausamerican Min,AIW,0.035,-0.50,-12.5,,,,,,,,,,,,
Encounter Res,ENR,0.28,-4.00,-12.5,,,,,,,,,,,,
Gunson Res,GUN,0.07,-1.00,-12.5,,,,,,,,,,,,
Sirius Res NL,SIR,0.007,-0.10,-12.5,,,,,,,,,,,,
Venturex Res,VXR,0.07,-1.00,-12.5,,,,,,,,,,,,
Samson Oil & Gas,SSN,0.031,-0.40,-11.43,,,,,,,,,,,,
Beacon Min opt aug10,BCNOA,0.008,-0.10,-11.11,,,,,,,,,,,,
Somerton Energy,SNE,0.008,-0.10,-11.11,,,,,,,,,,,,
Regal Res,RER,0.025,-0.30,-10.71,,,,,,,,,,,,
Agri Energy Ltd,AAE,0.009,-0.10,-10,,,,,,,,,,,,
Caspian Oil & Gas,CIG,0.009,-0.10,-10,,,,,,,,,,,,
East Coast Min,ECM,0.027,-0.30,-10,,,,,,,,,,,,
Quest Pet,QPN,0.009,-0.10,-10,,,,,,,,,,,,
Dart Min NL,DTM,0.14,-1.50,-9.68,,,,,,,,,,,,
Chameleon Min NL,CHM,0.019,-0.20,-9.52,,,,,,,,,,,,
Clancy Explore,CLY,0.145,-1.50,-9.38,,,,,,,,,,,,
Gas2Grid Ltd,GGX,0.04,-0.40,-9.09,,,,,,,,,,,,
Macq Harbour opt aug12,MHMO,0.10,-1.00,-9.09,,,,,,,,,,,,
