Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Ryman Healthcare Ltd,7.89,,
30/10/2015,Sanford Ltd,4.95,,
30/10/2015,Skellerup Holdings Ltd,1.53,,
30/10/2015,Sky Network Television Ltd,4.54,,
30/10/2015,Skycity Entertainment Group Ltd,4.01,,
30/10/2015,Steel and Tube Holdings Ltd,2.78,,
30/10/2015,Telecom Corp Of New Zealand Ltd,3.36,,
30/10/2015,Telstra Corp Ltd,5.7,,
30/10/2015,Tower Ltd,2.09,,
30/10/2015,Trustpower Ltd,7.8,,
30/10/2015,Vector Ltd,3.3,,
30/10/2015,Vital Healthcare Property Trust,1.76,,
30/10/2015,Warehouse Group Ltd,2.73,,
30/10/2015,Westpac Banking Corp,33.15,,
,
Singapore Exchange,
Quoted in Singapore Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Capitaland,3.1,,
30/10/2015,CapitaMall Trust,1.98,,
09/06/2014,CapitaMalls Asia,2.35,,
30/10/2015,City Developments,7.94,,
30/10/2015,ComfortDelgro Corporation,3.04,,
30/10/2015,DBS Group Holdings,17.27,,
30/10/2015,Fraser and Neave,2.15,,
30/10/2015,Genting Singapore,.815,,
30/10/2015,Global Logistic Properties,2.24,,
30/10/2015,Golden Agri-Resources,.39,,
30/10/2015,Jardine Cycle & Carriage,32.62,,
30/10/2015,Keppel Corp,7.08,,
30/10/2015,Neptune Orient Lines,.995,,
30/10/2015,Noble Group,.505,,
30/10/2015,Olam International,2,,
30/10/2015,Oversea-Chinese Banking Corporation,9.03,,
30/10/2015,SembCorp Industries,3.58,,
30/10/2015,SembCorp Marine,2.34,,
30/10/2015,SIA Engineering,3.99,,
30/10/2015,Singapore Airlines,10.8,,
30/10/2015,Singapore Exchange,7.38,,
30/10/2015,Singapore Press Holdings,3.99,,
30/10/2015,Singapore Technologies Engineering,3.31,,
30/10/2015,SMRT Corporation,1.46,,
30/10/2015,StarHub,3.6,,
30/10/2015,United Overseas Bank,20.33,,
30/10/2015,Wilmar International Limited,3.13,,
,
Johannesburg Stock Exchange,
Quoted in Rand,
,
Trading date,Company name,Last sale,,
30/10/2015,Absa Group Ltd,"17,760",,
11/08/2014,African Bank Investments Ltd,31,,
30/10/2015,African Rainbow Minerals Ltd,"5,288",,
30/10/2015,Anglo American Platinum Ltd,"24,271",,
30/10/2015,Anglo American PLC,"11,646",,
30/10/2015,Anglogold Ashanti Ltd,"11,773",,
30/10/2015,ArcelorMittal South Africa Ltd,823,,
30/10/2015,Aspen Pharmacare Holdings Ltd,"31,081",,
30/10/2015,Assore Ltd,"8,000",,
30/10/2015,BHP Billiton PLC,"22,339",,
30/10/2015,Bidvest Group Ltd,"35,400",,
30/10/2015,Capital Shopping Centres Group PLC,"7,416",,
30/10/2015,Compagne Financiere Richemont SA,"11,921",,
30/10/2015,Exxaro Resources Ltd,"5,747",,
30/10/2015,Firstrand Ltd,"5,079",,
30/10/2015,Gold Fields Ltd,"3,676",,
30/10/2015,Growthpoint Properties Ltd,"2,537",,
30/10/2015,Harmony Gold Mining Co,984,,
30/10/2015,Impala Platinum Holdings Ltd,"3,782",,
30/10/2015,Investec Ltd,"11,463",,
30/10/2015,Investec PLC,"11,522",,
