ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5515.5 at 2014-04-24T16:40:36. Report at Thursday, April 24, 2014. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BFE,-,3.946,4.719,.001,-,-,-.57,-,-,-,-,,Black Fire Minerals,,.004,-,.004,.006,.004,.004,-1.30,.013,.003,,
BMZ,15.000,2.906,2.037,.005,-,-,-3.10,-,-,-,-,,Black Mountain,,.05,-,.04,.05,.05,.05,-1.30,.165,.05,,
BMZO,-,.535,2.586,-,-,-,-,-,-,-,-,,  opt may15,,.01,-,.002,.01,.01,.01,-1.30,.033,.01,,
BLR,2475.57,119.028,716.695,.014,-,-,-.07,-,-,-,-,,Black Range Min,,.008,-,.007,.008,.008,.007,-1.30,.016,.006,,
BRD,250.000,82.229,70.582,-,-,-,-.06,-,-,-,-,,Black Ridge Min,,.001,-,.001,.002,.001,.001,-1.30,.003,.001,,
BSP,-,.040,2.555,.008,-,-,-.05,-,-,-,-,,Black Star Pet,,.10,-,.016,.058,.10,.10,-1.30,.165,.10,,
BSPO,-,-,.183,.002,-,-,-,-,-,-,-,,  opt dec17,,.05,-,-,.02,.05,.05,-1.30,.05,.05,,
BGG,20.088,3.446,6.632,.138,.17,.91,5.69,2.7,-,-,-,,Blackgold Int'l,,.155,+.5,.15,.155,.155,.15,+2.04,.20,.12,,
BLK,131.800,5.999,15.293,.024,-,-,-7.38,-,-,-,-,,Blackham Res,,.23,-,.22,.23,.235,.22,-1.30,.285,.115,,
BTR,1900.50,31.297,29.840,.029,-,-,-27.29,-,-,-,-,,Blackthorn Res,,.175,-,.17,.18,.18,.165,-1.30,.63,.14,,
BLZ,-,5.500,109.735,.003,-,-,-.02,-,-,-,-,,Blaze Int'l,,.001,-,-,.001,.001,.001,-1.30,.002,.001,,
BGH,10.000,2.531,1.534,.002,-,-,-1.96,-,-,-,-,,Bligh Res,,.04,+.4,.04,.09,.04,.036,+9.81,.06,.025,,
BDI,1677.66,80.035,315.496,.001,-,-,12.89,.0,-,-,-,,Blina Minerals,,.001,-,.001,.002,.001,.001,-1.30,.003,.001,,
