ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4842.6 at 16:47 16/10/2009  Report at 15:29 Saturday 17/10/2009. Processed 17:07 Sunday 18/10/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AXC,599.579,11.889,22.34,0.002,-,-,-1.4,-,-,-,-,,AXG Min Ltd,,0.025,,0.023,0.029,0.029,0.025,-1.85,0.04,0.015
AXCO,-,4.669,18.788,-,-,-,-,-,-,-,-,,  opt aug10,,0.002,,0.002,0.005,0.002,0.002,-1.85,0.006,0.001
AZM,8131.11,71.263,38.374,0.032,-,-,-2.8,-,-,-,-,,Azumah Res,,0.21,4,0.205,0.21,0.22,0.17,21.68,0.22,0.04
AZS,3229.51,68.614,72.741,0.015,-,-,-1.9,-,-,-,-,,Azure Min,,0.07,1.5,0.065,0.07,0.075,0.054,25.42,0.118,0.036
BND,209.673,10.834,0.504,0.047,-,-,-0.22,-,-,-,-,,Bandanna Energy,,0.52,-2,0.495,0.52,0.55,0.495,-5.56,0.66,0.165
BMN,3939.9,164.856,144.466,0.238,-,-,-6.22,-,-,-,-,,Bannerman Res,,1.18,-4,1.18,1.195,1.23,1.18,-5.13,1.485,0.225
BKP,68452.2,1010.24,53.083,0.012,-,-,-0.15,-,-,-,-,,Baraka Pet,,0.007,,0.006,0.007,0.007,0.006,-1.85,0.03,0.003
BAR,1986.1,92.126,78.088,0.045,-,-,-1.78,-,-,-,-,,Barra Res,,0.145,,0.14,0.145,0.145,0.135,-1.85,0.22,0.041
BARO,-,10.219,8.467,-,-,-,-,-,-,-,-,,  opt dec10,,0.016,,0.015,0.02,0.016,0.016,-1.85,0.04,0.002
BSE,144,7.021,0.712,0.002,-,-,-3.53,-,-,-,-,,Base Iron Ltd,,0.081,0.1,0.081,0.10,0.082,0.08,-0.60,0.12,0.04
BSM,1936.1,59.087,30.332,0.034,-,-,18.46,1.8,-,-,-,,Bass Metals Ltd,,0.33,1,0.325,0.33,0.35,0.325,1.27,0.36,0.088
BSMOA,-,0.678,0.337,-,-,-,-,-,-,-,-,,  opt apr10,,0.08,,0.055,0.07,0.08,0.08,-1.85,0.08,0.02
BAS,1753.75,33.458,64.522,0.007,-,-,-0.7,-,-,-,-,,Bass Strait Oil Co,*,0.044,0.3,0.042,0.044,0.045,0.039,5.46,0.068,0.013
BASN,-,-,-,-,-,-,-,-,-,-,-,,  def,,-,,-,-,-,-,-,-,-
BSR,5224.44,34.821,18.171,0.026,-,-,-0.9,-,-,-,-,,Bassari Res,,0.275,9,0.26,0.27,0.29,0.185,46.80,0.29,0.03
BTV,784.6,31.199,63.136,0.015,-,-,4.8,2.4,-,-,-,,Batavia Min,,0.115,,0.115,0.12,0.12,0.115,-1.85,0.14,0.063
BTVO,136,3.308,-,0.002,-,-,-,-,-,-,-,,  opt jun12,,0.043,0.8,0.036,0.043,0.043,0.04,21.00,0.05,0.008
BTU,-,16.361,5.35,0.012,-,-,-7.51,-,-,-,-,,Bathurst Res,,0.083,,-,-,0.083,0.083,-1.85,0.20,0.02
BTUO,-,1.281,0.323,-,-,-,-,-,-,-,-,,  opt dec10,,0.015,,-,-,0.015,0.015,-1.85,0.15,0.009
