ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AZM,547.779,132.618,195.058,.007,-,-,-1.00,-,-,-,-,,Azumah Res,,.018,-.2,.018,.02,.021,.018,-11.07,.069,.018,,
AZS,2632.44,432.460,1760.45,.020,-,-,-.50,-,-,-,-,,Azure Minerals,,.024,+.3,.023,.024,.024,.02,+13.22,.045,.02,,
BMB,150.000,57.027,49.158,.024,-,-,-3.85,-,-,-,-,,Balamara Res,,.039,-.3,.039,.042,.042,.039,-8.21,.16,.039,,
BMN,89.200,72.427,65.629,.024,-,-,-.70,-,-,-,-,,Bannerman Res,,.073,-,.073,.074,.075,.073,-1.07,.135,.049,,
BKP,11030.2,359.997,438.563,.002,-,-,.08,1.3,-,-,-,,Baraka Energy,,.001,-,.001,.002,.002,.001,-1.07,.005,.001,,
BAR,-,26.541,20.121,.003,-,-,-.21,-,-,-,-,,Barra Res,,.007,-,.007,.008,.007,.007,-1.07,.016,.005,,
BSE,10.000,119.059,134.211,.113,-,-,-2.50,-,-,-,-,,Base Res,,.20,-,.185,.20,.20,.20,-1.07,.48,.14,,
BSM,998.547,179.825,228.982,-,-,-,-.65,-,-,-,-,,Bass Metals,,.002,-,.002,.003,.003,.002,-1.07,.007,.001,,
BAS,3000.00,190.087,41.277,.003,-,-,-.60,-,-,-,-,,Bass Strait Oil Co,,.005,-,.004,.006,.005,.005,-1.07,.008,.004,,
BSR,680.000,632.263,147.630,.013,-,-,-.18,-,-,-,-,,Bassari Res,,.011,-,.01,.011,.011,.011,-1.07,.029,.006,,
BRL,2325.73,447.885,218.339,.027,-,-,-,-,-,-,-,,Bathurst Res NZ,,.028,-,.028,.029,.032,.026,-1.07,.23,.015,,
BAU,240.520,86.344,82.635,.022,-,-,-2.00,-,-,-,-,,Bauxite Resources,,.095,-.2,.096,.10,.10,.095,-3.13,.175,.095,,
BBX,-,32.753,4.929,.001,-,-,-.04,-,-,-,-,,BBX Minerals,,.011,-,.005,.011,.011,.011,-1.07,.025,.004,,
BCI,5696.63,446.319,153.909,.089,1.90,.24,59.48,.8,32.00,1.86,70.33,f,BC Iron,,.455,-3,.45,.47,.535,.445,-7.25,5.50,.34,,
BCD,1.845,29.188,21.178,.004,.04,.83,-3.08,-,-,-,-,,BCD Res,,.033,-,.033,.038,.033,.033,-1.07,.05,.031,,
BPT,17820.8,1675.02,1430.81,1.343,1.45,.71,7.95,13.0,3.00,2.65,2.90,f,Beach Energy,,1.035,+3,1.03,1.045,1.095,1.015,+1.92,1.817,.855,,
BCN,3034.01,204.474,290.226,.004,-,-,-.51,-,-,-,-,,Beacon Minerals,,.003,-,.003,.004,.003,.003,-1.07,.007,.003,,
BCNO,-,88.109,24.195,-,-,-,-,-,-,-,-,,  opt sep15,,.001,-,-,.001,.001,.001,-1.07,.002,.001,,
BDR,47769.6,1523.20,1315.60,.156,.27,.72,12.00,1.6,-,-,-,,Beadell Resources,,.195,+.5,.195,.20,.21,.19,+1.56,.885,.185,,
BKY,3.242,25.265,41.600,.047,-,-,-4.19,-,-,-,-,,Berkeley Res,,.26,-1,.26,.285,.27,.26,-4.77,.39,.22,,
BHP,16183.6,1802.32,1989.66,93.043,15.87,1.83,276.01,10.5,130.92,2.11,4.52,f,BHP Billiton,,28.97,-1,28.97,28.98,29.96,28.81,-1.10,39.79,27.29,,
BGS,4200.96,568.732,5919.11,.009,-,-,-.28,-,-,-,-,,Birimian Gold,,.01,-,.009,.011,.011,.01,-1.07,.021,.008,,
BMZ,-,7.278,8.909,.003,-,-,-4.05,-,-,-,-,,Black Mountain,,.025,-,.025,.027,.025,.025,-1.07,.10,.016,,
BMZO,-,1.038,6.826,-,-,-,-,-,-,-,-,,  opt may15,,.001,-,-,-,.001,.001,-1.07,.03,.001,,
BOK,71.074,229.885,88.723,.012,-,-,-19.80,-,-,-,-,,Black Oak Min,†,.27,-5,.27,.29,.305,.27,-16.69,.57,.24,,
BLR,7601.66,546.719,1046.64,.008,-,-,-.35,-,-,-,-,,Black Range Min,,.003,-.1,.003,.004,.004,.003,-26.07,.013,.003,,
BRD,500.000,131.189,152.476,-,-,-,-.04,-,-,-,-,,Black Ridge Min,,.001,-,.001,.002,.001,.001,-1.07,.003,.001,,
BSP,162.500,6.858,3.641,-,-,-,-3.32,-,-,-,-,,Black Star Pet,,.001,-.1,.001,.002,.001,.001,-51.07,.102,.001,,
BSPO,-,-,.183,.002,-,-,-,-,-,-,-,,  opt dec17,,.05,-,-,.005,.05,.05,-1.07,.05,.05,,
BGG,75.000,11.563,16.138,.062,.23,.30,4.98,1.4,-,-,-,,Blackgold Int'l,,.07,+.4,.06,.07,.07,.06,+4.99,.177,.045,,
BGGO,-,.049,-,.002,-,-,-,-,-,-,-,,  opt jul16,,.017,-,-,-,.017,.017,-1.07,.017,.017,,
BLK,255.250,38.145,20.549,.007,-,-,-1.79,-,-,-,-,,Blackham Res,,.05,+.5,.049,.05,.05,.047,+10.04,.285,.043,,
BLZ,-,1238.26,186.532,.004,-,-,-.02,-,-,-,-,,Blaze Int'l,,.001,-,-,.001,.001,.001,-1.07,.002,.001,,
BGH,-,3.603,2.928,.004,-,-,.23,20.9,-,-,-,,Bligh Res,,.048,-,.025,.03,.048,.048,-1.07,.052,.025,,
BDI,908.670,432.425,469.920,.002,-,-,.02,5.0,-,-,-,,Blina Minerals,,.001,-,.001,.002,.001,.001,-1.07,.003,.001,,
BUL,2475.59,151.386,588.463,.034,-,-,-.47,-,-,-,-,,Blue Energy,,.03,-.3,.03,.032,.032,.027,-10.16,.082,.024,,
BMG,412.843,712.652,186.101,-,-,-,-1.30,-,-,-,-,,BMG Res,†,.012,-2.1,.013,.018,.033,.011,-64.70,.102,.006,,
