ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4972.9 at 16:33 9/4/2010  Report at 19:08 Friday 9/4/2010. Processed 19:28 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AXC,100,2.717,5.622,0.002,-,-,-1.39,-,-,-,-,,AXG Min Ltd,,0.024,0.3,0.021,0.026,0.024,0.021,13.33,0.04,0.018
AXCO,-,2.51,0.92,-,-,-,-,-,-,-,-,,  opt aug10,,0.001,,-,0.001,0.001,0.001,-0.96,0.006,0.001
AVQ,3221.18,74.131,-,0.027,-,-,-0.73,-,-,-,-,,Axiom Min Ltd cdi,,0.034,-0.6,0.034,0.038,0.04,0.033,-15.96,0.045,0.011
AZM,22275.7,109.303,5.94,0.092,-,-,-2.5,-,-,-,-,,Azumah Res,,0.495,12,0.49,0.495,0.50,0.39,31.04,0.50,0.089
AZS,1199.16,22.539,9.231,0.009,-,-,-0.78,-,-,-,-,,Azure Min,,0.035,-0.5,0.035,0.039,0.04,0.034,-13.46,0.08,0.034
BND,1262.11,4.949,1.373,0.111,-,-,-0.73,-,-,-,-,,Bandanna Energy,,0.87,10,0.86,0.87,0.97,0.79,12.03,0.97,0.18
BMN,7863.24,94.413,42.416,0.112,-,-,-7.84,-,-,-,-,,Bannerman Res,,0.555,6,0.555,0.56,0.585,0.50,11.17,1.485,0.41
BKP,29165.1,360.141,-,0.007,-,-,-0.03,-,-,-,-,,Baraka Pet,,0.004,,0.004,0.005,0.005,0.003,-0.96,0.03,0.003
BAR,1428.34,16.77,9.811,0.029,-,-,-1.89,-,-,-,-,,Barra Res,,0.091,1.1,0.087,0.091,0.092,0.076,12.79,0.22,0.057
BARO,-,0.04,2.665,-,-,-,-,-,-,-,-,,  opt dec10,,0.007,,0.002,0.015,0.007,0.007,-0.96,0.029,0.004
