Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
Dec,10,3.25,0.13,0.12,46,-,30.60,-0.19,4.58,,,
Dec,10,3.50,0.21,0.20,570,100,30.80,-0.29,7.70,,,
Dec,10,3.75,0.31,0.30,177,5,30.20,-0.39,11.37,,,
Aug,11,5.50,1.76,1.68,3,13,36.30,-0.84,1.14,,,
Dec,12,2.50,0.22,0.20,25,100,39.10,-0.11,2.09,,,
Lend Lease Grp Last Sale Price $8.67,,,,,,,,,,,,
Apr,10,8.46,0.04,0.07,10,157,14.30,-0.21,7.02,,,
Apr,10,8.70,0.15,0.15,115,255,16.50,-0.50,21.05,,,
May,10,8.46,0.14,0.14,3,122,18.90,-0.32,10.93,,,
May,10,8.95,0.39,0.36,10,7,19.20,-0.64,8.91,,,
Dec,10,8.95,0.82,-,100,-,24.50,-0.48,8.76,,,
MAP Grp Last Sale Price $3.11,,,,,,,,,,,,
Sep,10,3.21,0.30,0.33,5,43,23.80,-0.51,13.73,,,
Macq Grp Ltd Last Sale Price $48.18,,,,,,,,,,,,
Apr,10,42.00,0.07,0.04,3,58,33.10,-0.04,2.21,,,
Apr,10,43.00,0.10,0.17,2,107,30.30,-0.06,3.00,,,
Apr,10,44.00,0.13,0.13,15,198,27.50,-0.08,4.10,,,
Apr,10,45.00,0.26,0.25,15,496,27.60,-0.14,8.05,,,
Apr,10,46.00,0.43,0.42,54,315,26.70,-0.22,13.57,,,
Apr,10,47.00,0.68,0.63,56,233,25.60,-0.32,21.46,,,
Apr,10,48.00,1.08,1.00,18,327,25.20,-0.45,34.09,,,
Apr,10,49.00,1.60,1.55,3,121,24.70,-0.58,24.46,,,
Apr,10,53.00,4.84,3.87,4,17,24.60,-0.98,0.79,,,
