Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4913.3 at 16:37 27/4/2010  Report at 19:06 Tuesday 27/4/2010. Processed 19:52 Tuesday 27/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Mindax Ltd,MDX,0.46,-4,-8.00,,,,,,,,
Aussie Q Res,AQR,0.58,-5,-7.94,,,,,,,,
Aurora Min Ltd,ARM,1.05,-9,-7.89,,,,,,,,
West Wits Min Ltd,WWI,0.083,-0.7,-7.78,,,,,,,,
Cauldron Energy,CXU,0.30,-2.5,-7.69,,,,,,,,
Cullen Res,CUL,0.048,-0.4,-7.69,,,,,,,,
Navigator Res opt nov11,NAVO,0.06,-0.5,-7.69,,,,,,,,
Planet Gas Ltd,PGS,0.12,-1,-7.69,,,,,,,,
Bougainville Copper,BOC,0.545,-4.5,-7.63,,,,,,,,
Mantra Res,MRU,4.79,-39,-7.53,,,,,,,,
Carpentaria Exp opt jun10,CAPO,0.185,-1.5,-7.50,,,,,,,,
Sunset Energy Ltd,SEY,0.125,-1,-7.41,,,,,,,,
Texon Pet Ltd,TXN,0.45,-3.5,-7.22,,,,,,,,
Contl Coal Ltd opt feb13,CCCO,0.026,-0.2,-7.14,,,,,,,,
Leyshon Res,LRL,0.265,-2,-7.02,,,,,,,,
Energy And Min,EMA,0.20,-1.5,-6.98,,,,,,,,
Western Desert Res,WDR,0.535,-4,-6.96,,,,,,,,
Archer Explore,AXE,0.14,-1,-6.67,,,,,,,,
Emergent Res opt sep10,EMGO,0.28,-2,-6.67,,,,,,,,
Golden Gate Pet opt aug12,GGPO,0.014,-0.1,-6.67,,,,,,,,
Deep Yellow Ltd,DYL,0.215,-1.5,-6.52,,,,,,,,
Giralia Res NL,GIR,2.16,-15,-6.49,,,,,,,,
Liontown Res,LTR,0.072,-0.5,-6.49,,,,,,,,
Green Rock Energy,GRK,0.029,-0.2,-6.45,,,,,,,,
Bauxite Resource,BAU,0.44,-3,-6.38,,,,,,,,
North Aust Ltd,NAD,0.044,-0.3,-6.38,,,,,,,,
Callabonna Uranium,CUU,0.015,-0.1,-6.25,,,,,,,,
Emmerson Res,ERM,0.225,-1.5,-6.25,,,,,,,,
Traka Res,TKL,0.15,-1,-6.25,,,,,,,,
Tribune Res NL,TBR,1.05,-7,-6.25,,,,,,,,
Atomic Res,ATQ,0.155,-1,-6.06,,,,,,,,
Gold Anomaly Ltd,GOA,0.031,-0.2,-6.06,,,,,,,,
ORH Ltd,ORH,0.031,-0.2,-6.06,,,,,,,,
Acclaim Explore,AEX,0.016,-0.1,-5.88,,,,,,,,
Cortona Res,CRC,0.24,-1.5,-5.88,,,,,,,,
Impact Min,IPT,0.16,-1,-5.88,,,,,,,,
Poseidon Nick Ltd,POS,0.32,-2,-5.88,,,,,,,,
Winchester Res,WCR,0.16,-1,-5.88,,,,,,,,
Western Plains Res,WPG,0.81,-5,-5.81,,,,,,,,
Energy Metals Ltd,EME,0.65,-4,-5.80,,,,,,,,
Northern Uranium,NTU,0.099,-0.6,-5.71,,,,,,,,
Magma Metals Ltd,MMW,0.58,-3.5,-5.69,,,,,,,,
Hunnu Coal Ltd,HUN,1.085,-6.5,-5.65,,,,,,,,
Atom Energy Ltd,AXY,0.051,-0.3,-5.56,,,,,,,,
DVM Intl  Ltd,DVM,0.085,-0.5,-5.56,,,,,,,,
