Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
NWSISM,14.67,30/07/10,1:1,4.49,-,2.30,-,-,,,,
NWSIMF,9.00,17/11/10,1:1,10.15,10.3,-,-,-,,,,
NWSIMG,11.00,17/11/10,1:1,8.31,8.46,8.09,-,-,,,,
NWSISQ,10.59,31/03/11,1:1,9.27,-,4.80,-,-,,,,
NWSIZZ,8.30,03/06/11,1:1,11.43,11.48,-,-,-,,,,
NWSIOO,9.00,15/12/11,1:1,11.13,11.15,-,-,-,,,,
NWSIOI,13.00,15/12/11,1:1,8.25,8.27,-,-,-,,,,
NWSSMA,12.73,28/06/13,1:1,6.42,-,6.37,-,-,,,,
NWSSOC,6.28,26/06/14,1:1,13.24,13.26,8.73,-,-,,,,
NWSSZX,8.28,04/02/19,1:1,10.32,10.37,10.01,-,-,,,,
Origin Energy Last Sale Price $16.64,,,,,,,,,,,,
ORGIYH,6.42,14/05/10,1:1,10.16,10.33,10.35,-,-,,,,
ORGIMD,11.00,19/05/10,1:1,5.72,5.88,5.87,-,-,,,,
ORGIZQ,8.50,14/06/10,1:1,8.23,8.28,8.13,-,-,,,,
ORGJMG,5.38,30/06/10,1:1,11.29,12.1,11.49,-,-,,,,
ORGSSR,6.84,30/06/10,1:1,9.91,9.92,9.82,-,-,,,,
ORGJMJ,11.83,30/06/10,1:1,5.49,5.64,5.62,-23,40,,,,
ORGIOK,10.00,23/09/10,1:1,7.09,7.11,8.28,-,-,,,,
ORGIMF,9.75,17/11/10,1:1,7.43,7.59,7.58,-112,5,,,,
ORGIZR,8.80,03/06/11,1:1,9.32,9.37,9.52,-,-,,,,
ORGIZZ,8.80,03/06/11,1:1,9.32,9.37,-,-,-,,,,
ORGSMV,3.88,30/06/11,1:1,12.84,-,13.28,-,-,,,,
ORGIOO,11.00,15/12/11,1:1,7.53,7.55,7.57,-,-,,,,
ORGSMW,5.00,29/06/12,1:1,11.75,-,11.11,-,-,,,,
