Warrant Market - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:17 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
MQGVZZ,38.00,25/08/10,5:1,0.305,0.33,-,-,-,,,,
MQGWOS,38.00,23/09/10,6:1,0.345,0.35,0.345,1,123,,,,
MQGWOP,42.50,23/09/10,6:1,0.75,0.755,0.89,13,15,,,,
National Aust Bank Last Sale Price $24.37,,,,,,,,,,,,
NABVZU,24.00,28/07/10,4:1,0.068,0.083,0.38,-,-,,,,
NABVZV,23.00,25/08/10,4:1,0.12,0.145,-,-,-,,,,
NABWOV,24.00,23/09/10,4:1,0.25,0.255,0.31,5,43,,,,
NABWOW,25.50,23/09/10,4:1,0.425,0.43,0.42,-1,5900,,,,
NABWOX,27.50,23/09/10,4:1,0.795,0.8,1.115,-,-,,,,
Newcrest Min Last Sale Price $33.22,,,,,,,,,,,,
NCMVZS,32.00,28/07/10,4:1,0.057,0.071,-,-,-,,,,
NCMVZT,32.00,25/08/10,4:1,0.275,0.3,-,-,-,,,,
NCMWOP,30.00,26/08/10,4:1,0.115,0.12,0.21,-,-,,,,
NCMWOQ,33.00,26/08/10,4:1,0.32,0.325,0.36,15.5,180,,,,
News Corp Last Sale Price $16.60,,,,,,,,,,,,
NWSUMQ,18.00,23/09/10,4:1,0.47,0.485,0.515,-,-,,,,
NWSVMP,20.00,23/09/10,4:1,0.855,0.88,-,-,-,,,,
Orica Ltd Last Sale Price $25.42,,,,,,,,,,,,
ORIUMP,23.47,23/09/10,4:1,0.15,0.17,0.18,-4,23,,,,
Qantas Airways Last Sale Price $2.40,,,,,,,,,,,,
QANUMP,2.75,23/09/10,1:1,0.365,0.385,0.56,-,-,,,,
QBE Insurance Grp Last Sale Price $17.97,,,,,,,,,,,,
QBEWOP,18.00,26/08/10,4:1,0.26,0.265,-,-,-,,,,
QBEUMP,20.00,23/09/10,4:1,0.67,0.7,0.69,-,-,,,,
Rio Tinto Ltd Last Sale Price $69.86,,,,,,,,,,,,
RIOVZY,68.00,28/07/10,6:1,0.13,0.16,0.265,-22,440,,,,
RIOVZZ,65.00,25/08/10,6:1,0.35,0.375,-,-,-,,,,
RIOWOP,60.00,26/08/10,6:1,0.087,0.092,0.092,-15.8,200,,,,
RIOWOQ,66.00,26/08/10,6:1,0.3,0.305,0.305,-30.5,20,,,,
RIOWOR,72.50,26/08/10,6:1,0.82,0.825,0.83,-3,120,,,,
RIOUMU,60.00,23/09/10,4:1,0.36,0.38,0.48,-13.5,129,,,,
RIOUMX,63.00,23/09/10,4:1,0.465,0.49,2.90,-,-,,,,
RIOUMV,65.00,23/09/10,4:1,0.6,0.63,0.605,-37.5,390,,,,
RIOUMY,68.00,23/09/10,4:1,0.865,0.9,0.895,-,10,,,,
RIOUMW,70.00,23/09/10,4:1,1.09,1.13,1.84,-,-,,,,
RIOWMV,72.00,23/09/10,4:1,1.35,1.4,1.645,-,-,,,,
RIOVMP,76.00,23/09/10,4:1,1.99,2.05,-,-,-,,,,
RIOVMQ,65.00,27/01/11,4:1,1.305,1.335,-,-,-,,,,
RIOVMR,70.00,27/01/11,4:1,1.835,1.87,-,-,-,,,,
RIOVMS,75.00,27/01/11,4:1,2.49,2.54,-,-,-,,,,
RIOVMT,80.00,27/01/11,4:1,3.27,3.33,-,-,-,,,,
RIOVMV,85.00,27/01/11,4:1,4.17,4.24,-,-,-,,,,
Santos Ltd Last Sale Price $13.84,,,,,,,,,,,,
STOWOP,13.00,26/08/10,4:1,0.074,0.079,0.38,-,-,,,,
STOUMP,13.00,23/09/10,4:1,0.135,0.15,0.26,-,-,,,,
Suncorp-Metway Last Sale Price $8.52,,,,,,,,,,,,
SUNUMP,8.00,23/09/10,4:1,0.074,0.083,-,-,-,,,,
Telstra Corp Last Sale Price $3.20,,,,,,,,,,,,
TLSWOS,3.00,26/08/10,2:1,0.05,0.055,0.04,-,-,,,,
TLSWMV,2.92,23/09/10,1:1,0.08,0.086,-,-,-,,,,
TLSUMP,3.15,23/09/10,1:1,0.175,0.19,-,-,-,,,,
TLSVMP,3.24,23/09/10,1:1,0.23,0.245,-,-,-,,,,
TLSVMQ,3.40,23/09/10,1:1,0.35,0.365,-,-,-,,,,
Toll Hldgs Ltd Last Sale Price $5.98,,,,,,,,,,,,
TOLVMP,6.00,23/09/10,1:1,0.4,0.415,-,-,-,,,,
Westpac Banking Last Sale Price $22.73,,,,,,,,,,,,
WBCVZU,22.00,28/07/10,4:1,0.039,0.053,0.21,-,-,,,,
WBCVZV,21.00,25/08/10,4:1,0.09,0.115,0.125,-,240,,,,
WBCWMV,20.00,23/09/10,4:1,0.105,0.12,0.17,-,-,,,,
WBCWOV,21.00,23/09/10,4:1,0.175,0.18,0.295,-,-,,,,
WBCUMQ,22.00,23/09/10,4:1,0.23,0.25,0.235,-28.5,400,,,,
