FR INV WARRANTS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, February 11, 2011. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
Asciano Grp Last Sale Price $1.71,
WESWOB,,33.00,26/05/11,4:1,.57,.575,,,,,
WESWOD,,36.00,26/05/11,4:1,.24,.245,,,,,
WESTMC,,22.00,23/06/11,1:1,11.60,,,,,,
,
Whitehaven Coal Last Sale Price $7.10,
WHCTMC,,3.50,23/06/11,1:1,3.58,3.69,3.52,,,,
,
WorleyParsons Last Sale Price $28.52,
WORWMB,,28.00,24/03/11,4:1,.305,.35,,,,,
WORWMC,,30.00,24/03/11,4:1,.125,.15,,,,,
WORTMC,,15.00,23/06/11,1:1,13.36,14.12,,,,,
,
Woolworths Last Sale Price $26.24,
WOWWOB,,28.00,24/03/11,4:1,.058,.063,.097,,,,
WOWWMB,,30.00,24/03/11,4:1,.001,,,,,,
WOWWOD,,31.00,24/03/11,4:1,.012,.017,,,,,
WOWWOA,,26.50,26/05/11,4:1,.295,.30,.30,,180,,
WOWWOC,,29.00,26/05/11,4:1,.095,.10,,,,,
WOWTMC,,20.00,23/06/11,1:1,6.37,6.41,7.46,,,,
,
Woodside Petroleum Last Sale Price $42.26,
WPLVZK,,42.00,24/02/11,5:1,.15,.18,.165,-.5,30,,
WPLWOA,,43.00,24/02/11,5:1,.135,.14,.13,-12.5,2522,,
WPLWOB,,46.00,24/02/11,5:1,.023,.028,.18,,,,
WPLWOI,,49.00,24/02/11,5:1,.011,.016,.088,,,,
WPLVZL,,43.00,24/03/11,5:1,.175,.20,.20,,200,,
WPLWMD,,45.00,24/03/11,4:1,.083,.097,,,,,
WPLWME,,49.00,24/03/11,4:1,.006,,,,,,
WPLWOJ,,42.00,28/04/11,5:1,.535,.54,,,,,
WPLWOK,,45.00,28/04/11,5:1,.27,.275,,,,,
WPLWOL,,48.00,28/04/11,5:1,.115,.12,,,,,
WPLTMA,,28.50,23/06/11,1:1,13.82,,14.49,,,,
WPLTMC,,28.50,23/06/11,1:1,13.96,14.14,,,,,
WPLTMB,,35.00,23/06/11,1:1,7.77,,9.40,,,,
WPLTMD,,35.00,23/06/11,1:1,7.72,7.88,7.74,,,,
,
Equity Put Warrants,
Asciano Grp Last Sale Price $1.71,
AIOWMP,,1.60,24/03/11,1:1,.025,,,,,,
,
ANZ Banking Grp Last Sale Price $24.91,
ANZVZY,,22.00,24/02/11,4:1,.001,.04,,,,,
ANZWOZ,,21.00,24/03/11,4:1,.024,.029,,,,,
ANZWMP,,21.50,24/03/11,4:1,.022,,,,,,
ANZVOQ,,22.00,24/03/11,4:1,.045,.05,.135,,,,
ANZUMR,,23.00,24/03/11,4:1,.055,.064,,,,,
ANZVZZ,,23.00,24/03/11,4:1,.028,.04,,,,,
ANZVOP,,24.00,24/03/11,4:1,.14,.145,.14,-46,1027,,
ANZWOR,,20.50,26/05/11,4:1,.072,.077,,,,,
ANZWOQ,,22.50,26/05/11,4:1,.175,.18,,,,,
ANZWOP,,24.50,26/05/11,4:1,.37,.375,.36,,28,,
,
ASX Last Sale Price $38.19,
ASXUMQ,,37.00,24/03/11,4:1,.32,.345,.36,,300,,
,
BHP Billiton Last Sale Price $46.38,
BHPWOU,,39.50,24/02/11,4:1,,,.12,,,,
BHPVZY,,41.00,24/02/11,4:1,.001,.04,.075,,,,
