S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4438.8 at 16:38 31/8/2010  Report at 19:05 Tuesday 31/8/2010. Processed 19:06 Tuesday 31/8/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
3.06,2.12,2.53,2.48,QAN,Qantas Airways,2.51,-3,"117,662",2.51,2.52,-,,-,2.35,-,4.9,51.2
25.70,16.25,16.73,16.42,QBE,QBE Insurance Grp,16.49,-25,"49,800",16.49,16.50,128,p,1.13,0.49,7.76,144.33,11.4
15.49,10.31,14.86,14.43,RHC,Ramsay Health Care,14.62,12,"16,573",14.62,14.63,43.5,f,1.60,1.29,2.98,69.4,21.1
3.985,2.445,3.41,3.37,RMD,ResMed Inc cdi,3.39,-4,"44,499",3.39,3.40,-,,-,1.64,-,29.57,11.5
81.25,55.20,70.62,69.70,RIO,Rio Tinto Ltd,70.09,-92,"35,281",70.07,70.09,100.83,f,4.61,15.37,1.44,465.33,15.1
11.24,5.12,9.40,9.06,RIV,Riversdale Min,9.11,-43,"23,366",9.09,9.12,-,,-,1.96,-,-0.4,-
0.75,0.305,0.37,0.355,ROC,Roc Oil Co,0.36,-1,"35,405",0.36,0.365,-,,-,0.60,-,-15.94,-
16.05,11.24,14.40,14.16,STO,Santos Ltd,14.20,-23,"57,381",14.20,14.21,42,f,1.51,-,2.96,63.5,22.4
8.57,5.19,7.32,7.21,SEK,Seek Ltd,7.26,-3,"14,256",7.26,7.28,11.9,f,2.23,0.67,1.64,26.5,27.4
7.60,5.41,6.31,6.26,SVW,Seven Grp Hldgs,6.26,-10,"2,217",6.26,6.27,-,f,-,-,-,-,-
1.171,0.34,0.48,0.47,SIP,Sigma Pharmaceutical,0.47,-1,"24,061",0.47,0.475,3,,-,0.15,6.38,-40.7,-
25.50,15.38,16.93,16.41,SGM,Sims Metal Mgmt,16.60,-19,"14,287",16.59,16.64,33,p,1.97,9.48,1.99,64.9,25.6
2.70,2.25,2.53,2.49,SGT,Singapore Tel cdi,2.52,2,"26,630",2.51,2.52,11.41,,1.68,0.65,4.53,19.12,13.2
7.21,4.25,6.30,6.21,SMX,SMS Management,6.21,-10,"2,141",6.21,6.23,29,f,1.44,0.71,4.67,41.9,14.8
15.64,9.53,11.17,10.97,SHL,Sonic Healthcare,11.05,-3,"16,085",11.02,11.05,59,p,1.28,-2.34,5.34,75.5,14.6
0.975,0.76,0.82,0.80,SPN,SP AusNet stp,0.80,-1,"72,066",0.80,0.805,8,p,1.01,0.94,10.00,8.09,9.9
1.445,1.07,1.185,1.165,SKI,Spark Infrastructure stp,1.165,-2.5,"33,221",1.165,1.17,13.56,,0.79,1.83,11.64,10.66,10.9
3.23,2.00,2.12,2.01,SPT,Spotless Grp Ltd,2.01,-12,"11,022",2.01,2.03,11,p,1.55,0.02,5.47,17.1,11.8
0.395,0.207,0.34,0.325,SBM,St Barbara Ltd,0.325,-2,"83,126",0.325,0.33,-,,-,0.18,-,-2.27,-
