ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.13,0.065,-,-,BUTO,  opt oct12,0.08,-,-,0.05,0.08,-,,-,-,-,-,-
0.315,0.18,0.25,0.24,BTN,Brighton Min,0.24,2.5,965,0.22,0.25,-,,-,-,-,-,-
6.24,2.55,6.1,5.89,BRM,Brockman Res,6,-10,3906,5.82,6.03,-,,-,-,-,-19.37,-
0.2,0.155,0.165,0.16,BPL,Broken Hill Prospecting,0.165,0.5,245,0.165,0.175,-,,-,-,-,-,-
0.06,0.033,-,-,BPLOA,  opt feb14,0.038,-,-,0.038,0.044,-,,-,-,-,-,-
0.325,0.09,0.19,0.18,BMY,Brumby Res,0.18,-1,2100,0.18,0.2,-,,-,-,-,-3,-
0.235,0.04,-,-,BMYOA,  opt sep11,0.08,-,-,0.1,0.14,-,,-,-,-,-,-
0.13,0.036,0.096,0.088,BCC,Buccaneer Energy,0.089,-0.4,48308,0.089,0.09,-,,-,-,-,-4.7,-
0.074,0.018,0.057,0.056,BCCO,  opt nov12,0.056,-0.4,1540,0.055,0.06,-,,-,-,-,-,-
0.23,0.16,0.175,0.165,BNR,Bulletin Res,0.165,-0.5,1500,0.165,0.19,-,,-,-,-,-1.6,-
0.505,0.038,0.34,0.3,BYR,Burey Gold,0.335,4,7926,0.335,0.345,-,,-,-,-,-0.4,-
0.415,0.006,0.28,0.26,BYRO,  opt jun11,0.28,3,536,0.27,0.28,-,,-,-,-,-,-
0.12,0.049,0.056,0.053,BUR,Burleson Energy,0.053,-0.1,30949,0.053,0.054,-,,-,-,-,-4.13,-
0.04,0.013,0.016,0.016,BUROA,  opt sep13,0.016,0.3,90,0.014,0.016,-,,-,-,-,-,-
0.93,0.23,0.525,0.5,BRU,Buru Energy,0.52,1.5,1428,0.51,0.52,-,,-,-,-,-1.44,-
0.349,0.065,0.29,0.275,BUX,Buxton Res,0.285,1,2750,0.26,0.285,-,,-,-,-,-2.55,-
0.09,0.05,-,-,BUXO,  opt jan16,0.08,-,-,0.07,0.08,-,,-,-,-,-,-
1.7,0.445,1.58,1.56,CCD,Caledon Res cdi,1.58,-,200,1.535,1.58,-,,-,0.37,-,-5.4,-
