ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4651.4 at 16:47 11/12/2009  Report at 19:05 Friday 11/12/2009. Processed 19:02 Sunday 13/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.07,0.004,-,-,BLRO,  opt feb11,0.027,,-,0.025,0.029,-,,-,-,-,-,-
0.44,0.061,0.29,0.28,BLK,Blackham Res,0.285,-0.5,280,0.285,0.29,-,,-,-,-,-1.4,-
0.07,0.06,-,-,BLKO,  opt oct11,0.07,,-,0.061,0.095,-,,-,-,-,-,-
0.90,0.055,0.675,0.66,BTR,Blackthorn Res,0.675,1.5,628,0.665,0.675,-,,-,-,-,-67.49,-
0.04,0.01,-,-,BDI,Blina Diamonds NL,0.013,,-,0.014,0.015,-,,-,-,-,-11.3,-
0.335,0.093,0.225,0.21,BUL,Blue Energy Ltd,0.21,-1,14215,0.21,0.215,-,,-,-,-,-1.48,-
0.175,0.023,-,-,BOM,Bondi Min Ltd,0.13,,-,0.125,0.13,-,,-,-,-,-3.22,-
0.08,0.04,0.062,0.056,BOE,Boss Energy Ltd,0.056,-0.6,1369,0.056,0.065,-,,-,-,-,-11.82,-
0.055,0.001,-,-,BOEO,  opt nov10,0.004,,-,0.001,-,-,,-,-,-,-,-
0.052,0.02,0.036,0.036,BML,Botswana Metals,0.036,,100,0.036,0.042,-,,-,-,-,-0.67,-
0.85,0.46,-,-,BOC,Bougainville Copper,0.51,,-,0.51,0.55,-,,-,0.37,-,-0.44,-
0.38,0.018,0.225,0.215,BGD,Boulder Steel,0.22,-0.5,5723,0.21,0.225,-,,-,-,-,-1.6,-
0.18,0.01,0.13,0.13,BGDO,  opt mar12,0.13,,9312,0.12,0.13,-,,-,-,-,-,-
0.178,0.016,0.091,0.087,BUY,Bounty Oil & Gas,0.089,-0.1,24475,0.089,0.09,-,,-,-,-,1.08,8.2
-,-,-,-,BUYNA,  def,-,,-,-,-,-,,-,-,-,-,-
1.60,0.146,1.32,1.275,BOW,Bow Energy Ltd,1.29,,10277,1.285,1.30,-,,-,-,-,-0.46,-
0.19,0.05,-,-,BWN,Bowen Energy Ltd,0.10,,-,0.09,0.11,-,,-,-,-,-6.5,-
0.145,0.027,-,-,BRW,Breakaway Res,0.09,,-,0.09,0.09,-,,-,-,-,-3.37,-
2.23,0.485,2.05,1.985,BRM,Brockman Res,2.00,-2,571,1.965,2.00,-,,-,-,-,-11.1,-
0.193,0.031,0.069,0.068,BMY,Brumby Res,0.069,0.1,1067,0.065,0.07,-,,-,-,-,-3.5,-
0.10,0.004,-,-,BMYO,  opt jan10,0.004,,-,0.004,0.01,-,,-,-,-,-,-
0.17,0.027,0.105,0.098,BCC,Buccaneer Energy,0.105,0.5,155700,0.10,0.105,-,,-,-,-,-8.94,-
0.105,0.007,0.054,0.048,BCCO,  opt nov12,0.052,0.2,81516,0.051,0.052,-,,-,-,-,-,-
0.125,0.038,0.085,0.085,BKG,Buka Gold Ltd,0.085,,17,0.08,0.085,-,,-,-,-,-11.14,-
0.043,0.006,-,-,BYR,Burey Gold Ltd,0.027,,-,0.026,0.028,-,,-,-,-,-0.6,-
0.09,0.036,-,-,BUR,Burleson Energy,0.065,,-,0.061,0.063,-,,-,-,-,-2.7,-
0.015,0.003,-,-,BURO,  opt aug10,0.007,,-,0.008,0.012,-,,-,-,-,-,-
0.245,0.155,0.225,0.22,BRU,Buru Energy,0.22,,787,0.22,0.225,-,,-,-,-,-28.46,-
0.035,0.003,-,-,BRUO,  opt oct10,0.007,,-,0.007,0.008,-,,-,-,-,-,-
0.073,0.026,-,-,BUX,Buxton Res Ltd,0.057,,-,0.058,0.065,-,,-,-,-,-1.2,-
1.35,0.20,0.70,0.65,CCD,Caledon Res cdi,0.65,-7,1647,0.65,0.665,-,,-,0.42,-,5.98,10.9
0.031,0.003,0.018,0.017,CUU,Callabonna Uranium,0.017,-0.1,2745,0.017,0.019,-,,-,-,-,-0.6,-
0.55,0.34,-,-,CBX,Cape Alumina Ltd,0.425,,-,0.40,0.52,-,,-,-,-,-,-
0.575,0.20,-,-,CFE,Cape Lambert Res,0.53,,-,-,-,-,,-,-,-,47.27,1.1
0.10,0.037,-,-,CMY,Capital Min,0.065,,-,0.06,0.065,-,,-,-,-,-0.67,-
0.028,0.002,0.005,0.005,CMYO,  opt oct10,0.005,,120,0.005,0.01,-,,-,-,-,-,-
0.035,0.015,-,-,CMYOA,  opt jul11,0.026,,-,0.026,0.035,-,,-,-,-,-,-
0.10,0.02,-,-,CRB,Carbine Res,0.085,,-,0.071,0.10,-,,-,-,-,-9.01,-
0.885,0.20,0.795,0.755,CNX,Carbon Energy,0.775,0.5,10348,0.775,0.78,-,,-,-,-,-3.11,-
3.60,1.55,-,-,CRM,Carbon Min Ltd,3.40,,-,2.20,3.10,-,,-,-,-,-0.66,-
0.885,0.255,0.50,0.49,CVN,Carnarvon Pet,0.49,,15568,0.49,0.495,-,,-,0.07,-,5.4,9.1
0.20,0.07,-,-,CAV,Carnavale Res,0.13,,-,0.13,0.14,-,,-,-,-,-6.2,-
0.195,0.039,0.039,0.039,CPN,Carpathian Res,0.039,-0.1,210,0.039,0.042,-,,-,-,-,-0.22,-
0.27,0.024,0.12,0.11,CAP,Carpentaria Exp,0.12,,339,0.11,0.12,-,,-,-,-,-2.21,-
0.035,0.003,0.017,0.017,CAPO,  opt jun10,0.017,,190,0.017,0.026,-,,-,-,-,-,-
1.11,0.495,1.00,0.99,CRK,Carrick Gold Ltd,0.995,1.5,431,0.985,1.00,-,,-,-,-,-1.12,-
0.028,0.008,0.012,0.011,CIG,Caspian Oil & Gas,0.012,,3795,0.011,0.012,-,,-,-,-,-0.5,-
