ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
1.04,0.655,0.705,0.665,BPT,Beach Energy Ltd,0.685,1.5,65168,0.685,0.69,1.75,p,9.17,1.27,2.55,16.05,4.3
0.035,0.011,0.017,0.017,BCN,Beacon Min,0.017,,5750,0.017,0.018,-,,-,-,-,1.96,0.9
0.006,0.001,-,-,BCNO,  opt aug10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.022,0.004,0.007,0.007,BCNOA,  opt aug10,0.007,,1311,0.006,0.007,-,,-,-,-,-,-
0.40,0.081,0.165,0.16,BDR,Beadell Resource,0.16,-0.5,8450,0.16,0.165,-,,-,-,-,-2.78,-
0.295,0.18,0.195,0.19,BDG,Bendigo Min Ltd,0.19,-0.5,585,0.19,0.195,0.5,,6.40,0.15,2.63,3.2,5.9
1.595,0.905,1.15,1.10,BKY,Berkeley Res,1.11,-1,4601,1.08,1.12,-,,-,-,-,-8.92,-
0.85,0.40,0.50,0.49,BKYO,  opt may13,0.50,9,119,0.41,0.50,-,,-,-,-,-,-
44.93,31.96,37.73,37.26,BHP,BHP Billiton Ltd,37.43,28,150721,37.40,37.45,95.15,f,1.95,8.76,2.54,185.29,20.2
0.215,0.047,-,-,BFE,Black Fire Min,0.09,,-,0.077,0.095,-,,-,-,-,-1.1,-
0.087,0.023,0.026,0.024,BLR,Black Range Min,0.024,-0.2,7843,0.024,0.027,-,,-,-,-,-0.2,-
0.055,0.003,-,-,BLRO,  opt feb11,0.005,,-,0.005,0.01,-,,-,-,-,-,-
0.035,0.006,0.009,0.008,BRD,Black Ridge Min,0.009,0.1,4881,0.008,0.009,-,,-,-,-,-0.26,-
0.007,0.001,-,-,BRDOA,  opt nov10,0.001,,-,-,0.002,-,,-,-,-,-,-
0.44,0.128,-,-,BLK,Blackham Res,0.245,,-,0.22,0.245,-,,-,-,-,-2.27,-
0.14,0.06,-,-,BLKO,  opt oct11,0.05,,-,0.04,0.15,-,,-,-,-,-,-
1.025,0.26,0.67,0.62,BTR,Blackthorn Res,0.635,2.5,1880,0.63,0.665,-,,-,-,-,-9.47,-
0.018,0.005,0.007,0.006,BLZ,Blaze Intl,0.007,0.2,3000,0.006,0.007,-,,-,-,-,-0.07,-
0.002,0.001,-,-,BLZO,  opt aug10,0.001,,-,-,0.001,-,,-,-,-,-,-
0.04,0.009,0.012,0.011,BDI,Blina Diamonds NL,0.012,0.2,19823,0.01,0.012,-,,-,-,-,-9.4,-
0.335,0.12,0.145,0.135,BUL,Blue Energy Ltd,0.145,,2876,0.135,0.145,-,,-,-,-,-2.16,-
0.175,0.05,0.053,0.053,BOM,Bondi Min Ltd,0.053,-0.2,377,0.051,0.07,-,,-,-,-,-5.48,-
0.065,0.039,-,-,BOE,Boss Energy Ltd,0.042,,-,0.025,0.04,-,,-,-,-,-4.42,-
0.004,0.001,-,-,BOEO,  opt nov10,0.001,,-,0.001,-,-,,-,-,-,-,-
0.185,0.034,0.054,0.052,BML,Botswana Metals,0.052,,3792,0.052,0.054,-,,-,0.09,-,-0.54,-
0.85,0.45,-,-,BOC,Bougainville Copper,0.69,,-,0.66,0.72,-,,-,0.38,-,0.9,76.7
0.38,0.081,0.12,0.10,BGD,Boulder Steel,0.12,,883,0.10,0.12,-,,-,0.02,-,-1.77,-
0.18,0.03,0.047,0.047,BGDO,  opt mar12,0.047,-0.2,20,0.045,0.049,-,,-,-,-,-,-
0.178,0.026,0.096,0.091,BUY,Bounty Oil & Gas,0.093,-0.1,15605,0.092,0.093,-,,-,-,-,1.9,4.9
1.605,0.755,1.17,1.15,BOW,Bow Energy Ltd,1.16,-1,2249,1.155,1.165,-,,-,-,-,4.42,26.2
0.16,0.043,-,-,BWN,Bowen Energy Ltd,0.049,,-,0.05,0.06,-,,-,-,-,-15.1,-
