ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:23 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.55,0.34,-,-,CBX,Cape Alumina Ltd,0.45,,-,0.45,0.49,-,,-,-,-,-,-
0.625,0.21,0.625,0.61,CFE,Cape Lambert Res,0.61,-0.5,25141,0.61,0.615,-,,-,-,-,47.27,1.3
0.10,0.039,0.062,0.062,CMY,Capital Min,0.062,-0.3,550,0.062,0.064,-,,-,-,-,-0.67,-
0.028,0.002,-,-,CMYO,  opt oct10,0.005,,-,0.005,0.01,-,,-,-,-,-,-
0.035,0.015,-,-,CMYOA,  opt jul11,0.035,,-,0.03,0.035,-,,-,-,-,-,-
0.14,0.02,0.135,0.125,CRB,Carbine Res,0.135,0.5,465,0.125,0.135,-,,-,-,-,-9.01,-
0.885,0.20,0.735,0.715,CNX,Carbon Energy,0.73,,8299,0.715,0.73,-,,-,-,-,-3.11,-
3.60,1.95,-,-,CRM,Carbon Min Ltd,3.20,,-,2.70,3.20,-,,-,-,-,-0.66,-
0.885,0.26,0.58,0.57,CVN,Carnarvon Pet,0.575,0.5,24028,0.57,0.58,-,,-,0.07,-,5.4,10.6
0.255,0.09,0.255,0.23,CAV,Carnavale Res,0.235,0.5,4291,0.23,0.24,-,,-,-,-,-6.2,-
0.195,0.027,0.041,0.041,CPN,Carpathian Res,0.041,,125,0.04,0.045,-,,-,-,-,-0.22,-
0.27,0.024,0.12,0.12,CAP,Carpentaria Exp,0.12,,786,0.12,0.13,-,,-,-,-,-2.21,-
