ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4686.8 at 16:34 17/2/2010  Report at 19:05 Wednesday 17/2/2010. Processed 12:10 Thursday 18/2/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""TCL",Transurban Group,STAPLED,"4,598,242","370,535",8.05,0.79,"1,290,049,879","0.02""",,,,,,,,,
"""SDL",Sundance Resources ,FPO,"11,032,377","880,129",7.97,-3.57,"2,709,995,932","0.03""",,,,,,,,,
"""MIN",Mineral Resources ,FPO,"323,784","25,693",7.93,3.36,"155,180,903","0.01""",,,,,,,,,
"""SBM",St Barbara ,FPO,"12,357,467","967,563",7.83,0.00,"1,952,668,407","0.05""",,,,,,,,,
"""AMC",Amcor ,FPO,"2,876,362","223,106",7.75,0.84,"1,221,103,663","0.01""",,,,,,,,,
"""UGL",UGL ,FPO,"762,838","58,634",7.68,1.15,"165,781,705","0.03""",,,,,,,,,
"""BLY",Boart Longyear ,FPO,"58,727,261","4,394,294",7.48,-1.40,"4,611,574,674","0.09""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"3,956,213","295,143",7.46,0.00,"1,996,912,778","0.01""",,,,,,,,,
"""ASL",Ausdrill ,FPO,"500,561","37,019",7.39,3.72,"208,765,592","0.01""",,,,,,,,,
"""BKW",Brickworks ,FPO,"52,963","3,839",7.24,1.15,"147,235,904","0.00""",,,,,,,,,
"""CPU",Computershare,FPO,"4,360,474","314,740",7.21,1.68,"555,664,059","0.05""",,,,,,,,,
"""COE",Cooper Energy ,FPO,"362,018","26,068",7.20,1.05,"292,426,001","0.00""",,,,,,,,,
"""RSG",Resolute Mining ,FPO,"672,634","48,411",7.19,3.96,"387,237,066","0.01""",,,,,,,,,
"""MCR",Mincor Resources,FPO,"1,873,679","134,673",7.18,6.18,"200,184,686","0.06""",,,,,,,,,
"""SEV",Seven Network ,FPO,"294,276","20,811",7.07,1.13,"190,260,281","0.01""",,,,,,,,,
"""EHL",Emeco Holdings ,FPO,"2,289,857","158,073",6.90,3.57,"631,237,586","0.02""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"1,616,999","110,327",6.82,1.64,"576,777,900","0.01""",,,,,,,,,
"""LNC",Linc Energy,FPO,"877,045","59,822",6.82,5.44,"469,631,618","0.01""",,,,,,,,,
"""MND",Monadelphous Group ,FPO,"853,526","57,741",6.76,2.24,"86,036,700","0.06""",,,,,,,,,
"""LGL",Lihir Gold ,FPO 10T,"41,310,818","2,732,934",6.61,3.21,"2,368,729,935","0.11""",,,,,,,,,
"""IRE",Iress Market Technology ,FPO,"621,123","40,632",6.54,3.77,"123,812,455","0.03""",,,,,,,,,
"""BKN",Bradken ,FPO,"428,176","27,863",6.50,2.53,"129,776,354","0.02""",,,,,,,,,
"""PEN",Peninsula Minerals ,FPO,"2,883,390","187,500",6.50,0.00,"1,376,096,061","0.01""",,,,,,,,,
"""AMP",AMP ,FPO,"5,694,178","360,171",6.32,1.95,"2,048,645,162","0.01""",,,,,,,,,
"""APN",APN News & Media ,FPO,"1,054,162","64,470",6.11,0.43,"595,311,917","0.01""",,,,,,,,,
"""MML",Medusa Mining ,FPO,"633,697","38,708",6.10,5.16,"170,381,960","0.02""",,,,,,,,,
"""SRL",Straits Resources ,FPO,"773,633","47,030",6.07,4.01,"254,924,863","0.01""",,,,,,,,,
"""PLA",Platinum Australia ,FPO,"2,652,877","160,870",6.06,-0.95,"320,880,521","0.05""",,,,,,,,,
"""ABY",Aditya Birla Minerals ,FPO,"1,571,330","94,325",6.00,8.91,"313,372,551","0.03""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"1,849,477","110,116",5.95,5.83,"486,223,803","0.02""",,,,,,,,,
"""GNS",Gunns ,FPO,"2,212,784","130,824",5.91,0.55,"806,734,892","0.01""",,,,,,,,,
