ASX Daily Gross Short Sales,,,,,,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 19:07 Tuesday 29/12/2009!. Processed 11:40 Wednesday 30/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note: No responsibility is accepted for any inaccuracies contained in the matter published.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASX Code,Company Name,Product/ Class,Total Shares Sales,Reported Gross Short Sales (a),Reported Gross Short Sales (%) of Turnover,Daily Change in security price (%),Issued Capital  (b),Percentage issued capital reported as short(a)/(b),,,,,,,,,
"""IPL",Incitec Pivot ,FPO,"6,038,449","476,370",7.88,1.72,"1,624,890,447","0.02""",,,,,,,,,
"""DXS",Dexus Property Group,STAPLED,"8,159,398","637,959",7.81,0.61,"4,766,093,266","0.01""",,,,,,,,,
"""RMS",Ramelius Resources ,FPO,"649,421","50,655",7.80,0.90,"282,668,982","0.01""",,,,,,,,,
"""CPU",Computershare,FPO,"685,307","52,463",7.65,0.35,"555,654,059","0.00""",,,,,,,,,
"""GMG",Goodman Group,FORUS,"19,256,494","1,465,556",7.61,1.69,"6,205,676,188","0.02""",,,,,,,,,
"""DJS",David Jones ,FPO,"1,027,357","77,377",7.53,-0.18,"503,524,465","0.01""",,,,,,,,,
"""SGP",Stockland,STAPLED,"3,957,365","294,790",7.44,-0.51,"2,383,036,717","0.01""",,,,,,,,,
"""ALZ",Australand Property Group,STAPLED,"1,109,409","81,000",7.30,0.97,"2,884,031,620","0.00""",,,,,,,,,
"""MQG",Macquarie Group ,FPO,"649,241","46,964",7.23,0.35,"334,760,159","0.01""",,,,,,,,,
"""MCC",Macarthur Coal ,FPO,"1,359,418","97,344",7.16,3.18,"254,333,109","0.03""",,,,,,,,,
"""AAD",Ardent Leisure Group,STAPLED,"510,713","36,431",7.13,2.71,"303,981,829","0.01""",,,,,,,,,
"""SEK",Seek ,FPO,"824,361","58,815",7.13,0.88,"335,766,988","0.01""",,,,,,,,,
"""AIX",Australian Infrastructure Fund,UNT/ORD,"774,354","54,551",7.04,2.29,"576,777,900","0.00""",,,,,,,,,
"""BOQ",Bank Of Queensland,FPO,"406,936","28,145",6.91,2.38,"213,430,606","0.01""",,,,,,,,,
"""AWB",AWB ,FPO,"3,408,625","232,856",6.83,0.89,"817,304,356","0.02""",,,,,,,,,
"""MOS",Mosaic Oil,FPO,"1,939,491","132,376",6.82,10.00,"821,344,925","0.01""",,,,,,,,,
"""PXS",Pharmaxis,FPO,"613,025","41,786",6.81,-3.46,"219,069,234","0.01""",,,,,,,,,
"""OSH",Oil Search ,FPO 10T,"5,862,387","398,706",6.80,1.50,"1,299,562,220","0.03""",,,,,,,,,
"""FKP",FKP Property Group,STAPLED,"2,158,662","144,412",6.69,6.00,"1,161,817,264","0.01""",,,,,,,,,
"""GPT",GPT Group,STAPLED,"13,176,475","859,087",6.52,0.85,"9,277,584,743","0.00""",,,,,,,,,
"""PPT",Perpetual ,FPO,"131,281","8,525",6.49,-0.24,"42,926,402","0.02""",,,,,,,,,
"""OGC",OceanaGold Corporation,CDI,"356,644","23,126",6.48,5.53,"185,880,075","0.01""",,,,,,,,,
"""TAH",Tabcorp Holdings ,FPO,"1,087,972","69,707",6.40,1.01,"607,730,819","0.01""",,,,,,,,,
"""FTE",Forte Energy,FPO,"1,245,697","76,184",6.11,-3.44,"567,158,031","0.01""",,,,,,,,,
"""AIO",Asciano Group,STAPLED,"20,406,123","1,244,203",6.09,2.24,"2,926,103,883","0.04""",,,,,,,,,
"""CPA",C'wlth Property Office,ORD UNIT,"2,828,775","170,570",6.03,-0.52,"1,970,704,093","0.00""",,,,,,,,,
"""IFN",Infigen Energy,STAPLED,"1,169,173","69,992",5.98,0.00,"802,460,585","0.00""",,,,,,,,,
"""AWE",AWE ,FPO,"2,624,336","156,408",5.96,0.73,"521,871,941","0.03""",,,,,,,,,
"""WESN",Wesfarmers ,PART PROT,"361,960","21,467",5.93,2.64,"151,928,424","0.01""",,,,,,,,,
"""CPB",Campbell Brothers ,FPO,"30,286","1,793",5.92,1.42,"62,959,971","0.00""",,,,,,,,,
"""PMP",PMP ,FPO,"300,898","17,601",5.84,4.05,"335,348,483","0.00""",,,,,,,,,
"""AOE",Arrow Energy ,FPO,"1,864,649","108,020",5.79,1.75,"732,381,533","0.01""",,,,,,,,,
"""SIP",Sigma Pharmaceuticals ,FPO,"2,192,296","123,572",5.63,0.00,"1,175,672,572","0.01""",,,,,,,,,
"""PNA",PanAust ,FPO,"7,627,777","414,861",5.43,2.75,"2,932,520,239","0.01""",,,,,,,,,
"""MOF",Macquarie Office Trust,UNIT,"10,715,083","581,279",5.42,0.00,"4,752,826,494","0.01""",,,,,,,,,
"""AJA",Astro Japan Property Group,STAPLED,"1,847,462","99,333",5.37,1.25,"508,212,161","0.02""",,,,,,,,,
"""WOW",Woolworths ,FPO,"1,453,905","77,482",5.32,0.91,"1,239,795,688","0.00""",,,,,,,,,
"""SBM",St Barbara ,FPO,"4,645,423","247,102",5.31,3.33,"1,952,668,407","0.01""",,,,,,,,,
"""NMS",Neptune Marine Services ,FPO,"1,013,091","53,729",5.30,0.00,"417,345,614","0.01""",,,,,,,,,
"""BBG",Billabong International ,FPO,"250,617","12,762",5.09,0.84,"252,863,336","0.00""",,,,,,,,,
"""ESG",Eastern Star Gas ,FPO,"2,230,264","112,375",5.03,-2.43,"865,224,422","0.01""",,,,,,,,,
"""TSE",Transfield Services ,FPO,"686,940","34,265",4.98,1.68,"413,727,231","0.00""",,,,,,,,,
"""VPG",Valad Property Group,FORUS,"6,010,312","294,055",4.89,4.34,"2,248,546,624","0.01""",,,,,,,,,
"""GUD",GUD Holdings ,FPO,"99,200","4,827",4.86,2.90,"60,606,420","0.00""",,,,,,,,,
"""TEN",Ten Network Holdings ,FPO,"4,088,268","196,952",4.81,3.49,"1,045,236,720","0.01""",,,,,,,,,
"""WHC",Whitehaven Coal ,FPO,"691,827","32,797",4.74,1.63,"478,897,537","0.00""",,,,,,,,,
"""CRZ",carsales.com ,FPO,"133,205","6,251",4.69,-0.55,"232,215,800","0.00""",,,,,,,,,
"""CVN",Carnarvon Petroleum ,FPO,"4,204,217","196,198",4.66,2.60,"685,099,634","0.02""",,,,,,,,,
"""PRR",Prima BioMed,FPO,"4,090,271","190,000",4.64,-3.33,"640,238,811","0.03""",,,,,,,,,
"""TAP",Tap Oil ,FPO,"333,456","15,418",4.62,1.33,"156,485,921","0.01""",,,,,,,,,
