S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:41 Thursday 24/12/2009. Processed 15:56 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.72,0.075,0.54,0.53,LYC,Lynas Corp,0.54,0.5,"10,137",0.535,0.54,-,,-,-,-,-4.5,-
2.32,0.74,2.13,2.07,MSL,MAC Services (The),2.13,3,"1,620",2.03,2.13,8.5,f,1.75,0.82,3.99,14.85,14.3
10.62,2.32,10.40,10.26,MCC,Macarthur Coal,10.37,12,"7,604",10.30,10.37,13,f,6.10,4.03,1.25,79.3,13.1
0.755,0.276,0.59,0.58,MAH,Macmahon Hldgs,0.585,-0.5,"6,018",0.58,0.585,1.5,,2.05,0.37,2.56,3.07,19.1
0.735,0.10,0.59,0.58,MCW,Macq Country unt,0.59,0.5,"19,202",0.58,0.59,7,,-,0.77,11.86,-101.81,-
0.185,0.024,0.105,0.10,MDT,Macq DDR Tr unt,0.10,-0.5,"33,972",0.10,0.105,2.12,,-,0.38,21.20,-65.5,-
58.80,15.00,48.05,47.35,MQG,Macq Grp Ltd,48.00,56,"5,490",47.90,48.00,126,,1.93,23.72,2.63,243.2,19.7
1.82,0.95,1.33,1.30,MIG,Macq Infra stpld,1.32,2,"130,142",1.315,1.325,12,,-,1.73,9.09,-73.72,-
2.16,0.413,1.96,1.92,MMG,Macq Media stpld,1.96,4,"1,311",1.93,1.96,6.7,,-,-2.66,3.42,-40.3,-
0.355,0.071,0.315,0.305,MOF,Macq Office unt,0.31,1,"133,565",0.31,0.315,3.75,,-,0.49,12.10,-42,-
