S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 19:09 Friday 13/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
5.95,4.80,5.68,5.53,FGL,Foster's Grp,5.61,7,"53,348",5.60,5.64,27.25,f,0.84,0.46,4.86,22.8,24.6
1.45,0.685,0.915,0.90,GDY,Geodynamics Ltd,0.905,-1.5,"2,670",0.90,0.905,-,,-,0.97,-,-5.42,-
1.05,0.32,0.96,0.935,GBG,Gindalbie Metals,0.95,,"29,878",0.95,0.96,-,,-,-,-,5.1,18.6
1.32,0.29,1.065,1.05,GIR,Giralia Res NL,1.065,-0.5,"2,902",1.06,1.065,-,,-,-,-,4.2,25.4
1.78,0.93,1.565,1.545,GFF,Goodman Fielder,1.55,-1,"65,316",1.54,1.56,10.5,p,1.27,-0.20,6.77,13.3,11.7
1.063,0.123,0.605,0.59,GMG,Goodman Grp forus,0.60,-0.5,"280,913",0.595,0.60,9.65,,-,0.84,16.08,-45.4,-
0.955,0.191,0.65,0.625,GPT,GPT Grp stpld,0.645,0.5,"330,849",0.64,0.65,5.6,,-,0.71,8.68,-107.6,-
8.85,3.863,6.73,6.53,GNC,Graincorp Ltd,6.63,-6,"10,452",6.63,6.66,-,,-,6.53,-,30.1,22.0
0.55,0.195,0.55,0.545,GRD,GRD Ltd,0.545,,"4,175",0.545,0.55,3,,-,0.34,5.50,-29.47,-
9.67,3.30,8.82,8.71,GUD,GUD Hldgs,8.72,-4,"2,678",8.71,8.85,60,f,1.00,0.66,6.88,60,14.5
1.325,0.596,1.03,0.99,GNS,Gunns Ltd,1.005,-0.5,"22,433",0.995,1.035,4,f,2.02,1.80,3.98,8.1,12.4
3.18,1.67,2.88,2.82,GWT,GWA Intl,2.83,-3,"9,443",2.82,2.84,18,f,0.94,0.27,6.36,16.9,16.7
4.85,1.805,4.35,4.23,HVN,Harvey Norman,4.34,7,"26,917",4.33,4.35,11,f,1.83,2.01,2.53,20.18,21.5
2.30,0.964,1.88,1.835,HST,Hastie Grp Ltd,1.855,-0.5,"8,509",1.84,1.885,12,f,2.70,-0.26,6.47,32.4,5.7
2.067,0.255,1.06,1.045,HDF,Hastings Divers stpld,1.06,1.5,"17,469",1.05,1.065,16,,0.11,2.06,15.09,1.8,58.9
4.90,3.61,4.90,4.68,HSP,Healthscope Ltd,4.79,7,"12,347",4.71,4.79,21.5,f,1.34,0.06,4.49,28.88,16.6
2.67,1.10,2.50,2.44,HGG,Henderson Grp cdi 1:1,2.46,,"25,829",2.40,2.47,12.15,,-,-0.22,4.94,-0.17,-
0.43,0.039,0.255,0.245,HFA,HFA Hldgs Ltd,0.25,-0.5,"13,403",0.25,0.26,3.5,,-,-0.24,14.00,-124.64,-
3.80,1.145,2.10,2.03,HIL,Hills Ind Ltd,2.05,-5,"3,636",2.05,2.13,10,f,0.49,1.40,4.88,4.9,41.8
0.365,0.105,0.34,0.33,HZN,Horizon Oil Ltd,0.34,,"27,315",0.335,0.34,-,,-,0.02,-,-1.17,-
0.67,0.10,0.44,0.42,ICN,Icon Energy Ltd,0.43,-1,"8,168",0.43,0.435,-,,-,-,-,-2.54,-
5.40,2.70,3.39,3.32,ILU,Iluka Res,3.33,-5,"10,894",3.32,3.35,-,,-,2.70,-,3.7,90.0
0.96,0.24,0.88,0.84,IMD,Imdex Ltd,0.84,-4,"2,804",0.84,0.86,1,,6.37,0.19,1.19,6.37,13.2
1.98,0.70,1.725,1.66,IMF,IMF (Aust) Ltd,1.685,2,"1,251",1.67,1.70,15,f,1.16,0.27,8.90,17.35,9.7
3.42,1.63,2.65,2.60,IPL,Incitec Pivot,2.62,-3,"184,023",2.62,2.63,21.6,f,2.19,-0.14,8.24,47.27,5.5
5.52,1.095,4.71,4.54,IGO,Independence Grp,4.64,-1,"3,290",4.50,4.69,5,f,2.83,1.34,1.08,14.14,32.8
1.09,0.215,1.045,1.025,IRN,Indophil Res,1.045,1.5,"3,487",1.04,1.05,-,,-,-,-,-2.93,-
0.51,0.089,0.49,0.475,IDL,Industrea Ltd,0.49,1,"28,831",0.485,0.49,1.25,f,1.45,-0.03,2.55,1.81,27.1
1.55,0.525,1.43,1.39,IFN,Infigen Energy stpld,1.41,1,"84,728",1.40,1.45,9,,2.51,0.58,6.38,22.6,6.2
0.603,0.057,0.49,0.48,IIF,ING Industrial Fd unt,0.48,-0.5,"69,183",0.48,0.485,9.8,,-,0.96,20.42,-103.8,-
0.996,0.184,0.585,0.575,IOF,ING Office Fd stpld,0.585,-0.5,"142,116",0.58,0.585,7.92,,-,0.99,13.54,-49.8,-
4.13,2.94,4.07,3.94,IAG,Insurance Aust Grp,4.02,1,"122,330",3.98,4.05,10,f,0.93,1.16,2.49,9.32,43.1
0.385,0.105,0.29,0.28,IGR,Integra Min Ltd,0.28,-1,"17,685",0.28,0.285,-,,-,-,-,-1.1,-
0.42,0.09,0.315,0.31,IAU,Intrepid Mines,0.31,-0.5,"12,387",0.31,0.32,-,,-,0.17,-,-7.97,-
6.48,4.48,6.13,5.96,IVC,Invocare Ltd,6.10,11,"3,968",5.96,6.15,24.5,f,1.22,0.35,4.02,29.9,20.4
5.95,2.112,5.70,5.50,IFL,IOOF Hldgs Ltd,5.55,-15,"5,326",5.55,5.62,4,f,4.17,0.55,0.72,16.7,33.2
8.92,3.54,8.26,8.04,IRE,IRESS Market Tech,8.05,-3,"3,769",8.05,8.11,32,f,0.98,0.67,3.98,31.29,25.7
0.93,0.486,0.805,0.795,ISF,iSOFT Group Ltd,0.80,-0.5,"12,951",0.795,0.80,1,,4.30,-0.27,1.25,4.3,18.6
0.485,0.089,0.425,0.405,JML,Jabiru Metals Ltd,0.42,0.5,"5,203",0.41,0.42,-,,-,-,-,-12,-
8.32,2.89,7.66,7.50,JHX,James Hardie Ind cdi,7.57,-11,"24,851",7.57,7.65,-,,-,-0.34,-,13.52,56.0
22.43,6.87,22.08,21.60,JBH,JB Hi-Fi Ltd,22.01,16,"5,102",21.95,22.06,44,f,2.01,1.21,2.00,88.26,24.9
1.32,0.222,1.06,1.03,KZL,Kagara Ltd,1.05,-1.5,"15,274",1.045,1.06,-,,-,0.74,-,-34.98,-
12.10,2.09,8.27,7.83,KAR,Karoon Gas Aust,8.18,18,"6,269",8.16,8.18,-,,-,-,-,3.02,270.9
9.45,2.20,9.39,9.10,KCN,Kingsgate Cons,9.39,24,"5,560",9.26,9.39,15,f,2.33,2.55,1.60,34.9,26.9
38.99,16.15,38.15,36.98,LEI,Leighton Hldgs,37.53,-21,"7,071",37.25,37.60,115,f,1.30,7.43,3.06,149.5,25.1
-,-,9.26,9.07,LLCDA,Lend Lease Grp stpld d,9.22,,"14,196",9.12,9.26,-,,-,-,-,-,-
0.31,0.075,0.305,0.30,LLP,Lend Lease Primelife stpld,0.30,,"9,892",0.30,0.305,2.1,,-,0.55,7.00,-30.38,-
3.64,1.565,3.39,3.34,LGL,Lihir Gold Ltd,3.36,-8,"180,961",3.35,3.36,1.52,,-,1.29,0.45,-9.97,-
2.98,0.975,1.545,1.505,LNC,Linc Energy Ltd,1.505,-3.5,"12,606",1.505,1.53,-,,-,-,-,-10.36,-
1.905,0.625,1.90,1.81,LST,Lion Selection,1.90,4.5,"4,176",1.865,1.90,-,,-,2.02,-,-34.8,-
0.72,0.075,0.525,0.495,LYC,Lynas Corp,0.505,-0.5,"187,608",0.50,0.505,-,,-,-,-,-4.5,-
2.32,0.74,2.17,2.11,MSL,MAC Services (The),2.13,-7,"3,209",2.11,2.15,8.5,f,1.75,0.82,3.99,14.85,14.3
9.94,2.32,9.65,9.35,MCC,Macarthur Coal,9.63,10,"17,549",9.35,9.64,13,f,6.10,4.03,1.35,79.3,12.1
0.755,0.276,0.59,0.575,MAH,Macmahon Hldgs,0.58,-1,"26,113",0.58,0.585,1.5,,2.05,0.37,2.59,3.07,18.9
