Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4479.0 at 16:37 28/5/2010  Report at 19:06 Friday 28/5/2010. Processed 07:19 Saturday 29/5/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
  opt dec11,ASCO,0.003,-,0.002,0.003,-,-,-,0.003,0.003,0.005,0.002,-,,-,-,-,-,-,-,-,
AMA Grp Ltd,AMA,0.058,-,0.05,0.059,-,-,-,0.058,0.045,0.078,0.019,-,,-,-0.09,-,7.75,0.7,1.3,28.89,
AP Eagers Ltd,APE,12.50,-,12.51,12.60,17,12.50,12.50,12.60,12.50,13.55,7.00,62,f,1.96,8.81,4.96,121.6,10.3,-,-,
ARB Corp,ARP,5.80,6,5.77,5.80,911,5.80,5.77,6.00,5.58,6.19,3.176,17.5,f,2.31,1.22,3.02,40.44,14.3,-9.0,-1.53,
Automotive Hldgs,AHE,2.30,13,2.30,2.32,2655,2.38,2.30,2.38,2.14,2.88,1.25,17,f,1.66,0.75,7.39,28.14,8.2,10.0,4.55,
Beyond Sportswear,BSI,0.014,-,0.014,0.016,-,-,-,0.016,0.014,0.037,0.007,-,,-,-0.01,-,-0.57,-,-0.2,-12.5,
Breville Grp Ltd,BRG,2.08,8,2.08,2.14,271,2.08,2.05,2.08,1.945,2.45,0.84,7.5,,1.68,0.59,3.61,12.62,16.5,13.0,6.67,
Cash Convert ord/div   ,CCV,0.60,-,0.60,0.61,7490,0.61,0.60,0.61,0.545,0.71,0.41,3,f,2.32,0.23,5.00,6.97,8.6,6.0,11.11,
Clive Peeters,CPR,0.15,-,-,-,-,-,-,0.15,0.15,0.74,0.10,-,,-,0.27,-,-7.6,-,-,-,
Country Road Ltd,CTY,3.65,-,3.70,-,-,-,-,3.65,3.65,4.00,3.10,13.32,f,1.57,0.97,3.65,20.85,17.5,-,-,
David Jones Ltd,DJS,4.40,16,4.38,4.41,54297,4.40,4.33,4.40,4.13,5.96,3.61,29,f,1.14,1.22,6.59,33,13.3,21.0,5.01,
