Derivatives: Put Options - Weekly
"Traded positions for the week ending Friday, September 18, 2015"
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:11 PM."



ASX Code/Series,,Ex Price,Fair Value,Last Sale,Weekly Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,
PUT OPTIONS,
AGL Energy Last Sale Price $16.36,
Dec,2015,24.78,1.59,1.91,15,2500,30.30,-.48,20.74,
Dec,2015,25.26,1.81,1.69,295,415,29.50,-.53,16.56,
Dec,2015,25.72,2.08,2.70,65,730,28.90,-.59,13.45,
Dec,2015,26.18,2.37,3.08,25,4592,28.30,-.65,10.58,
Dec,2015,27.12,3.03,3.74,15,915,27.40,-.76,6.07,
Dec,2015,27.13,3.00,3.30,12,934,27.40,-.76,5.49,
Dec,2015,27.59,3.40,1.85,15,1887,27.10,-.82,4.43,
Dec,2015,28.05,3.79,4.30,10,7523,26.90,-.87,3.20,
Dec,2015,28.06,3.75,4.17,20,706,26.90,-.87,2.46,
Dec,2015,30.87,6.33,7.20,3,438,27.70,-1.00,-,
Dec,2015,31.34,6.78,7.58,70,828,28.20,-1.00,-,
Dec,2015,31.80,7.34,4.96,21,249,28.90,-1.00,-,
Dec,2015,31.81,7.25,7.42,50,579,28.90,-1.00,-,
Dec,2015,33.68,9.10,11.24,50,686,33.40,-1.00,-,
Dec,2015,34.14,9.55,9.58,20,35,34.70,-1.00,-,
Dec,2015,34.60,10.14,3.10,24,1650,35.80,-1.00,-,
Dec,2015,35.08,10.49,6.15,200,707,36.60,-1.00,-,
Jan,2016,19.50,.40,.35,20,20,38.10,-.12,4.43,
Jan,2016,20.00,.46,.64,10,50,37.00,-.14,5.16,
Jan,2016,21.50,.70,.95,20,50,34.00,-.21,7.91,
Jan,2016,22.50,.94,1.52,10,103,32.30,-.27,10.60,
Jan,2016,25.01,1.89,1.76,80,-,28.80,-.49,14.98,
Feb,2016,24.01,1.61,1.86,150,150,30.40,-.39,14.92,
Mar,2016,23.85,1.98,2.23,6,173,29.50,-.37,15.68,
Mar,2016,24.31,2.19,1.43,10,1348,28.90,-.41,17.38,
Mar,2016,25.25,2.69,3.10,10,8048,27.80,-.49,15.04,
Mar,2016,25.26,2.68,4.05,136,237,27.80,-.49,14.92,
Mar,2016,27.12,3.92,3.98,100,424,26.30,-.67,9.96,
Mar,2016,28.06,4.63,5.69,15,193,25.90,-.77,8.18,
Mar,2016,29.46,5.83,5.87,63,190,25.50,-.91,6.55,
Mar,2016,29.47,5.82,5.79,108,701,25.50,-.91,6.39,
Mar,2016,29.92,6.23,6.24,112,219,25.30,-.96,6.11,
Mar,2016,30.39,6.65,6.71,2,355,25.10,-1.00,5.71,
Mar,2016,30.40,6.64,6.59,36,230,25.10,-1.00,5.56,
Mar,2016,30.87,7.07,9.27,40,263,24.90,-1.00,5.20,
Mar,2016,31.34,7.50,8.75,700,1140,24.60,-1.00,4.88,
Mar,2016,31.80,7.95,8.47,11,757,24.30,-1.00,4.80,
Mar,2016,31.81,7.93,8.38,30,117,24.30,-1.00,4.64,
Mar,2016,32.26,8.38,8.46,7,202,24.00,-1.00,4.60,
Mar,2016,32.74,8.81,9.43,185,235,23.80,-1.00,4.21,
Mar,2016,33.68,9.74,9.70,15,80,23.50,-1.00,4.17,
Mar,2016,35.55,11.55,12.01,20,20,24.50,-1.00,3.65,
Jun,2016,20.11,1.08,1.42,250,250,33.60,-.17,5.73,
Jun,2016,21.04,1.30,1.42,10,31,32.30,-.21,6.95,
Jun,2016,21.05,1.30,1.33,250,320,32.30,-.21,6.93,
Jun,2016,21.52,1.44,1.69,20,245,31.70,-.23,7.65,
Jun,2016,23.38,2.14,2.50,10,270,29.70,-.34,11.40,
Jun,2016,23.85,2.35,2.65,3,3,29.20,-.37,12.52,
Jun,2016,32.73,8.89,4.60,16,1561,23.10,-1.00,3.33,
Jun,2016,36.48,12.30,12.80,10,10,21.60,-1.00,1.49,
Jun,2016,39.29,15.06,15.65,17,17,23.10,-1.00,1.20,
Sep,2016,22.00,1.93,2.70,5,25,27.60,-.24,7.60,
Sep,2016,23.00,2.42,3.15,5,660,27.60,-.33,9.55,
Sep,2016,30.00,7.13,7.00,20,100,24.10,-.85,6.30,
Sep,2016,33.00,9.62,9.60,200,103,16.10,-1.00,4.26,
Dec,2016,18.70,1.18,1.48,20,70,31.60,-.14,3.80,
Dec,2016,21.51,2.21,2.57,5,266,30.60,-.23,7.12,
Dec,2016,23.38,3.06,3.60,5,100,29.50,-.33,9.88,
Dec,2016,24.31,3.52,3.69,5,110,28.80,-.37,11.39,
Dec,2016,32.73,9.65,3.85,24,136,24.00,-1.00,4.46,
Jun,2017,19.64,2.19,2.25,60,20,32.00,-.20,5.02,
Jun,2017,20.57,2.57,2.70,10,60,31.50,-.21,5.89,
Jun,2017,22.44,3.39,3.84,10,95,30.10,-.30,7.77,
Jun,2017,23.38,3.85,3.75,5,430,29.40,-.32,8.81,
Jun,2017,24.31,4.34,4.95,10,221,28.80,-.35,9.95,
Jun,2017,25.25,4.87,5.50,5,55,28.10,-.43,9.34,
Dec,2017,19.64,2.40,2.90,10,60,28.70,-.19,4.33,
Dec,2017,20.57,2.85,3.25,55,50,28.70,-.20,5.14,
Dec,2017,22.44,3.85,4.10,12,77,28.60,-.29,6.96,
Dec,2017,23.38,4.39,4.87,10,95,28.50,-.31,7.93,
Dec,2017,24.31,4.94,5.40,10,60,28.20,-.35,8.92,
Dec,2017,25.25,5.51,5.94,10,97,27.80,-.42,8.54,
Dec,2017,26.18,6.11,6.50,10,68,27.40,-.44,7.92,
Dec,2017,27.12,6.71,4.50,15,75,26.80,-.50,7.33,
Dec,2017,31.80,10.14,11.60,10,664,24.00,-.86,5.06,
Dec,2017,32.73,10.89,11.40,42,2501,23.40,-1.00,4.73,

Boral Last Sale Price $5.75,
Sep,2015,5.50,.01,.23,100,110,31.30,-.13,13.60,
Sep,2015,5.75,.09,.20,195,245,31.00,-.48,81.61,
Sep,2015,6.00,.27,.16,30,394,30.70,-.86,13.60,
Sep,2015,6.25,.50,.65,102,2170,30.40,-1.00,-,
Oct,2015,5.75,.21,.28,20,20,28.50,-.46,31.74,
Nov,2015,4.70,.03,.04,40,40,34.50,-.07,2.72,
Nov,2015,6.25,.58,.69,45,45,26.80,-.74,7.71,
Mar,2016,5.00,.17,.22,573,948,28.60,-.18,5.74,
Mar,2016,5.50,.34,.43,150,221,27.10,-.33,11.31,
Mar,2016,6.25,.75,.38,13,243,25.00,-.63,8.44,
