Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4403.9 at 2011-10-27T16:36:25. Report at Thursday, October 27, 2011. Processed Friday at 2011-10-28T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $22.00,
TCLSZW,2.99,04/02/19,1:1,2.42,2.44,1.925,,,,
TCLSRX,2.27,06/08/21,1:1,3.14,3.16,,,,,
,
Ten Network Hldgs Last Sale Price $0.93,
TENSWB,1.87,30/06/16,1:1,.12,,.14,,,,
,
Telstra Corp Last Sale Price $3.16,
TLSIZQ,1.70,02/12/11,1:1,1.46,1.475,1.475,,,,
TLSIZR,1.70,02/12/11,1:1,1.46,1.475,1.40,,,,
TLSIOO,2.25,15/12/11,1:1,.945,.955,.945,-4.5,70,,
TLSIOI,3.25,15/12/11,1:1,.105,.115,.11,,,,
TLSJZ2,2.01,22/12/11,1:1,1.135,1.15,1.08,,,,
TLSIOR,1.50,24/01/12,1:1,1.715,1.725,,,,,
TLSIOS,1.85,24/01/12,1:1,1.37,1.38,1.30,,,,
TLSISX,3.00,22/03/12,1:1,.38,.385,.37,,,,
TLSISY,3.20,22/03/12,1:1,,,,,,,
TLSIOU,2.00,29/03/12,1:1,1.255,1.265,1.27,,,,
TLSIZJ,2.27,29/03/12,1:1,.96,.975,.95,,,,
TLSIO1,1.30,11/05/12,1:1,1.88,1.89,1.885,,,,
TLSIOL,2.00,25/05/12,1:1,1.27,1.28,1.29,,,,
TLSIOM,2.50,25/05/12,1:1,.83,.84,.84,,,,
TLSIOE,1.50,28/06/12,1:1,1.765,1.775,1.725,,,,
TLSIOF,2.00,28/06/12,1:1,1.305,1.315,1.31,,,,
TLSSOA,2.05,28/06/12,1:1,1.21,1.22,1.125,,,,
TLSIRZ,2.25,28/06/12,1:1,1.04,1.055,.98,,,,
TLSISM,3.18,28/06/12,1:1,.625,.705,,,,,
TLSSMW,1.21,29/06/12,1:1,2.00,,1.78,,,,
TLSSSR,1.63,29/06/12,1:1,1.625,1.635,1.56,,,,
TLSSSC,3.01,29/06/12,1:1,.33,.34,.335,,,,
TLSIOW,1.50,30/08/12,1:1,1.79,1.80,1.84,,,,
TLSIRA,1.75,27/09/12,1:1,1.535,1.55,,,,,
TLSIZM,1.75,03/12/12,1:1,1.56,1.575,1.55,,,,
TLSIZW,1.75,03/12/12,1:1,1.56,1.575,1.56,,,,
TLSIZY,1.75,03/12/12,1:1,1.56,1.575,1.55,,,,
TLSIZZ,1.75,03/12/12,1:1,1.56,1.575,1.54,,,,
TLSSOB,1.45,27/06/13,1:1,1.78,1.79,1.79,,,,
TLSSMA,2.11,28/06/13,1:1,1.18,,.97,,,,
TLSSOC,1.31,26/06/14,1:1,1.92,1.93,1.575,,,,
TLSSSA,2.38,30/06/14,1:1,1.045,,1.22,,,,
TLSSOD,1.77,26/06/15,1:1,1.585,1.595,1.54,,,,
TLSSSB,1.16,30/06/15,1:1,2.06,,1.87,,,,
TLSSZA,1.21,30/06/15,1:1,1.995,,1.975,,,,
TLSSMC,1.44,30/06/15,1:1,1.87,,1.82,,,,
TLSSOE,1.26,23/06/16,1:1,1.97,1.98,1.865,,,,
TLSSOF,1.56,23/06/16,1:1,1.735,1.745,,,,,
TLSSWB,0.84,30/06/16,1:1,2.40,,2.33,,,,
TLSSWG,1.33,30/06/16,1:1,2.03,2.04,1.83,,,,
TLSSWD,2.09,30/06/16,1:1,1.14,,1.135,,,,
TLSSMX,2.11,30/06/16,1:1,1.18,,1.115,,,,
TLSSZZ,2.18,30/06/17,1:1,1.075,,1.015,,,,
TLSSZM,2.26,30/06/17,1:1,.995,,1.00,,,,
TLSSZW,1.29,04/02/19,1:1,1.855,1.87,1.885,,,,
TLSSZX,1.57,04/02/19,1:1,1.575,1.59,1.59,,,,
TLSSRX,1.25,06/08/21,1:1,1.895,1.91,,,,,
,
Toll Hldgs Last Sale Price $4.89,
TOLIZQ,3.70,02/12/11,1:1,1.18,1.19,1.135,,,,
TOLIOO,5.00,15/12/11,1:1,.285,.295,.265,,,,
TOLIOU,3.50,29/03/12,1:1,1.57,1.58,1.425,,,,
TOLIOE,3.00,28/06/12,1:1,2.09,2.10,,,,,
TOLSOA,9.25,28/06/12,1:1,.195,.205,.255,,,,
TOLSSR,3.91,29/06/12,1:1,1.315,1.335,1.065,,,,
TOLMMI,5.74,29/06/12,1:1,.73,,,,,,
TOLSM1,9.95,29/06/12,1:1,.49,,.495,,,,
TOLIZR,3.50,03/12/12,1:1,1.835,1.875,,,,,
TOLIZW,3.50,03/12/12,1:1,1.835,1.875,,,,,
TOLIZZ,3.50,03/12/12,1:1,1.835,1.875,1.48,,,,
TOLSOB,2.07,27/06/13,1:1,2.94,2.95,4.29,,,,
TOLSMZ,3.77,28/06/13,1:1,1.385,,1.26,,,,
TOLSMA,6.36,28/06/13,1:1,.385,,.385,,,,
TOLSOC,2.39,26/06/14,1:1,2.84,2.85,2.73,,,,
TOLSSA,8.05,30/06/14,1:1,.655,,1.05,,,,
TOLSOD,5.40,26/06/15,1:1,1.855,1.865,2.73,,,,
TOLSOE,2.37,23/06/16,1:1,3.00,3.01,,,,,
TOLSWG,2.97,30/06/16,1:1,2.74,2.76,,,,,
TOLSWF,3.27,30/06/16,1:1,1.97,,1.96,,,,
TOLSWE,8.01,30/06/16,1:1,.24,,.25,,,,
TOLSMY,0.39,30/06/17,1:1,4.48,,4.57,,,,
TOLSZC,8.81,30/06/17,1:1,1.01,,1.66,,,,
TOLSM2,11.02,30/06/17,1:1,.545,,1.035,,,,
TOLSZD,3.93,28/06/18,1:1,1.43,,,,,,
TOLSMB,7.06,29/06/18,1:1,.92,,1.435,,,,
TOLSZX,2.63,04/02/19,1:1,2.22,2.27,1.95,,,,
TOLSZU,3.24,04/02/19,1:1,1.605,1.65,1.55,,,,
TOLSRX,1.74,06/08/21,1:1,3.11,3.16,3.05,,,,
,
Transpacific Indust Last Sale Price $0.69,
TPISMA,5.29,28/06/13,1:1,,,4.97,,,,
,
Tatts Grp Last Sale Price $2.36,
TTSIOO,1.38,15/12/11,1:1,1.005,1.015,.905,,,,
TTSIOF,1.50,28/06/12,1:1,1.00,1.01,.88,,,,
TTSSSR,1.25,29/06/12,1:1,1.18,1.19,1.145,,,,
TTSSMW,2.45,29/06/12,1:1,.145,,.165,,,,
TTSSMA,2.11,28/06/13,1:1,.385,,.33,,,,
TTSSSB,1.10,30/06/15,1:1,1.345,,1.16,,,,
