Warrants Market - Daily,,,,,,,,,,,,
XAO 4680.0 at 16:37 23/9/2010  Report at 17:17 Thursday 23/9/2010. Processed 13:10 Friday 24/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.62,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.001,-,0.038,-,-,,,,
TOLWMA,6.25,27/01/11,1:1,0.72,0.73,-,-,-,,,,
UGL Ltd Last Sale Price $14.64,,,,,,,,,,,,
UGLWMA,15.00,27/01/11,4:1,0.295,0.31,0.425,-,-,,,,
Westpac Banking Last Sale Price $23.72,,,,,,,,,,,,
WBCVMF,20.00,23/09/10,4:1,0.93,0.85,0.86,15.5,70,,,,
WBCUMG,22.00,23/09/10,4:1,0.43,-,0.35,-6.5,10,,,,
WBCUMH,24.00,23/09/10,4:1,0.001,-,0.058,-,-,,,,
WBCVZH,24.00,23/09/10,4:1,-,-,-,-,-,,,,
WBCWOH,24.50,23/09/10,4:1,0.001,-,0.036,-,-,,,,
WBCUMI,26.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
WBCWOI,26.00,23/09/10,4:1,-,-,0.078,-,-,,,,
WBCWOJ,28.00,23/09/10,4:1,0.001,-,0.12,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,-,-,0.001,-,-,,,,
WBCWMI,31.00,23/09/10,4:1,0.001,-,0.001,-,-,,,,
WBCVZI,25.00,28/10/10,4:1,0.04,0.064,-,-,-,,,,
WBCWOA,23.00,25/11/10,4:1,0.315,0.32,0.325,-,-,,,,
WBCVZJ,24.00,25/11/10,4:1,0.115,0.145,-,-,-,,,,
WBCWOB,25.00,25/11/10,4:1,0.115,0.12,0.12,-,-,,,,
WBCWOC,26.50,25/11/10,4:1,0.053,0.063,-,-,-,,,,
WBCWOD,28.00,25/11/10,4:1,0.025,0.035,-,-,-,,,,
WBCWOK,29.50,25/11/10,4:1,0.014,0.024,-,-,-,,,,
WBCVMG,21.00,27/01/11,4:1,0.825,0.85,0.795,-,-,,,,
WBCVMJ,23.00,27/01/11,4:1,0.48,0.50,-,-,-,,,,
WBCVMH,25.00,27/01/11,4:1,0.245,0.26,0.375,-,-,,,,
WBCVMI,28.00,27/01/11,4:1,0.072,0.079,0.069,-,-,,,,
WBCWOE,22.00,28/01/11,4:1,0.58,0.585,-,-,-,,,,
WBCWOF,25.00,28/01/11,4:1,0.23,0.235,-,-,-,,,,
WBCWOG,27.00,28/01/11,4:1,0.11,0.115,-,-,-,,,,
WBCWMC,24.00,24/03/11,4:1,0.495,0.515,-,-,-,,,,
Wesfarmers Ltd Last Sale Price $33.92,,,,,,,,,,,,
WESUMB,28.00,23/09/10,4:1,1.47,-,1.45,3,298,,,,
WESUMC,31.00,23/09/10,4:1,0.72,-,0.67,-,-,,,,
WESWOB,31.00,28/10/10,5:1,0.65,0.655,0.63,-,-,,,,
WESWOD,33.00,28/10/10,5:1,0.345,0.35,-,-,-,,,,
WESWMA,32.00,27/01/11,4:1,0.935,0.94,-,-,-,,,,
WESWMB,34.00,27/01/11,4:1,0.635,0.64,0.67,-,-,,,,
WorleyParsons Ltd Last Sale Price $22.22,,,,,,,,,,,,
WORUMB,26.00,23/09/10,4:1,0.001,-,0.083,-,-,,,,
WORWMA,22.00,27/01/11,4:1,0.54,0.545,-,-,-,,,,
Woolworths Ltd Last Sale Price $28.88,,,,,,,,,,,,
WOWVMF,24.00,23/09/10,4:1,1.215,-,1.075,-,-,,,,
WOWUMC,27.00,23/09/10,4:1,0.465,-,0.445,-,-,,,,
WOWUMD,30.00,23/09/10,4:1,0.001,-,-,-,-,,,,
WOWWOA,25.50,28/10/10,4:1,0.85,0.855,-,-,-,,,,
WOWWOC,27.00,28/10/10,4:1,0.51,0.515,0.385,-,-,,,,
WOWWMA,29.00,27/01/11,4:1,0.39,0.395,-,-,-,,,,
Woodside Pet Last Sale Price $44.44,,,,,,,,,,,,
WPLUMC,44.00,23/09/10,4:1,0.10,0.03,0.046,-,-,,,,
WPLVZG,44.00,23/09/10,5:1,0.076,-,0.063,-,-,,,,
WPLWMH,45.00,23/09/10,4:1,0.001,-,0.165,-,-,,,,
WPLWOC,42.00,28/10/10,5:1,0.675,0.68,0.625,-,-,,,,
WPLVZH,45.00,28/10/10,5:1,0.15,0.19,-,-,-,,,,
WPLWOD,45.00,28/10/10,5:1,0.31,0.315,0.33,4.5,400,,,,
WPLWOE,47.00,28/10/10,5:1,0.165,0.17,-,-,-,,,,
WPLVZI,44.00,25/11/10,5:1,0.395,0.43,-,-,-,,,,
WPLWOF,42.50,23/12/10,5:1,0.815,0.82,0.83,7,500,,,,
WPLWOG,45.00,23/12/10,5:1,0.52,0.525,-,-,-,,,,
WPLWOH,48.00,23/12/10,5:1,0.27,0.275,0.285,-,100,,,,
WPLWMC,44.00,27/01/11,4:1,0.955,0.975,-,-,-,,,,
Equity Put Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
AMPWOP,5.50,23/09/10,3:1,0.135,-,-,-,-,,,,
AMPWOQ,6.25,23/09/10,3:1,0.385,0.395,0.345,-,-,,,,
AMPWOS,5.00,25/11/10,3:1,0.084,0.089,-,-,-,,,,
AMPWOR,5.75,25/11/10,3:1,0.24,0.245,-,-,-,,,,
AMPWOV,4.50,28/01/11,3:1,0.055,0.06,-,-,-,,,,
AMPWOU,4.75,28/01/11,3:1,0.076,0.081,-,-,-,,,,
