Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
MQGVZS,45.00,28/01/10,5:1,0.54,0.57,-,-,-
MQGWOP,45.00,25/02/10,6:1,0.455,0.465,0.465,-,-
National Aust Bank Last Sale Price $28.00,,,,,,,,
NABWOW,22.00,17/12/09,4:1,0.001,0.012,0.022,-,-
NABWOX,26.00,17/12/09,4:1,0.029,0.039,0.038,-,-
NABWZS,28.00,17/12/09,4:1,0.17,0.195,-,-,-
NABWOV,29.00,17/12/09,4:1,0.325,0.36,0.32,-,-
NABWZR,29.00,17/12/09,4:1,0.325,0.35,0.34,-,-
NABWZT,30.00,28/01/10,4:1,0.69,0.715,1.005,-,-
NABWOY,24.50,25/02/10,4:1,0.16,0.165,0.15,-,-
NABWZU,26.00,25/02/10,4:1,0.26,0.285,0.325,-,-
NABWOZ,26.50,25/02/10,4:1,0.265,0.27,0.26,2,200
NABVOP,28.50,25/02/10,4:1,0.48,0.485,0.59,-,-
NABVMS,29.00,25/03/10,5:1,0.535,0.54,0.67,-,-
NABVMT,31.00,25/03/10,5:1,0.785,0.79,-,-,-
NABVMU,33.00,29/04/10,5:1,1.11,1.115,-,-,-
Newcrest Min Last Sale Price $36.00,,,,,,,,
NCMWOP,29.00,17/12/09,4:1,0.01,0.015,0.015,-,-
NCMWOQ,32.00,17/12/09,4:1,0.022,0.027,0.052,-,-
NCMWZX,33.00,17/12/09,4:1,0.082,0.091,0.105,-,-
NCMVMS,37.00,25/03/10,4:1,1.02,1.025,0.80,-,-
NCMVMU,39.00,29/04/10,4:1,1.445,1.45,-,-,-
News Corp Last Sale Price $15.72,,,,,,,,
NWSVMS,16.00,25/03/10,4:1,0.39,0.395,-,-,-
NWSVMU,18.00,29/04/10,4:1,0.74,0.745,-,-,-
QBE Insurance Grp Last Sale Price $22.76,,,,,,,,
QBEWOQ,22.50,17/12/09,4:1,0.10,0.125,-,-,-
QBEWOP,24.00,17/12/09,4:1,0.345,0.39,0.039,-,-
QBEVMS,25.00,25/03/10,4:1,0.85,0.86,-,-,-
QBEVMU,27.00,29/04/10,4:1,1.255,1.265,-,-,-
Rio Tinto Ltd Last Sale Price $71.59,,,,,,,,
RIOWOP,50.00,17/12/09,6:1,0.001,0.011,0.017,-,-
RIOWOQ,55.00,17/12/09,6:1,0.002,0.012,0.015,-,-
RIOWOR,58.00,17/12/09,6:1,0.006,0.016,0.071,-,-
RIOVZS,65.00,17/12/09,6:1,0.076,0.085,0.195,-,-
RIOVZR,70.00,17/12/09,6:1,0.33,0.36,0.38,-,500
RIOVZT,70.00,25/02/10,6:1,1.205,1.235,1.755,-,-
RIOVMS,70.00,25/03/10,6:1,1.13,1.135,1.135,-,-
RIOVMT,75.00,25/03/10,6:1,1.575,1.58,1.62,-,-
RIOVMU,80.00,29/04/10,6:1,2.24,2.25,-,-,-
Santos Ltd Last Sale Price $14.75,,,,,,,,
STOWZP,14.50,17/12/09,4:1,0.077,0.086,-,-,-
STOWOQ,15.00,17/12/09,4:1,0.14,0.145,0.175,-,-
STOVMU,16.00,29/04/10,3:1,0.71,0.715,-,-,-
Telstra Corp Last Sale Price $3.45,,,,,,,,
TLSVZP,3.35,17/12/09,2:1,0.012,0.04,-,-,-
TLSVMS,3.61,25/03/10,2:1,0.195,0.20,-,-,-
TLSVMU,3.85,29/04/10,2:1,0.305,0.31,-,-,-
Westpac Banking Last Sale Price $23.89,,,,,,,,
WBCWOW,20.00,17/12/09,4:1,0.001,0.021,0.002,-,-
WBCWOX,22.00,17/12/09,4:1,0.018,0.028,0.014,-,-
WBCVZX,24.00,17/12/09,4:1,0.16,0.185,-,-,-
WBCWOV,24.00,17/12/09,4:1,0.18,0.19,0.11,-,-
WBCVZW,25.00,17/12/09,4:1,0.32,0.345,0.495,-,-
WBCVZY,23.00,25/02/10,4:1,0.30,0.33,-,-,-
WBCWOZ,23.00,25/02/10,4:1,0.275,0.28,0.345,-,-
WBCVOP,24.50,25/02/10,4:1,0.44,0.445,0.36,-,-
WBCWOY,26.00,25/02/10,4:1,0.685,0.69,0.625,-,-
WBCVMS,28.00,25/03/10,5:1,0.88,0.885,-,-,-
WBCVMT,30.00,25/03/10,5:1,1.21,1.215,-,-,-
WBCVMU,32.00,29/04/10,5:1,1.58,1.585,-,-,-
Wesfarmers Ltd Last Sale Price $28.79,,,,,,,,
WESVMS,30.00,25/03/10,4:1,0.765,0.77,0.66,-,-
WorleyParsons Ltd Last Sale Price $28.01,,,,,,,,
WORVMS,30.00,25/03/10,4:1,1.17,1.175,-,-,-
Woolworths Ltd Last Sale Price $27.65,,,,,,,,
WOWVMS,30.00,25/03/10,4:1,0.785,0.79,-,-,-
Woodside Pet Last Sale Price $48.30,,,,,,,,
