Warrants Market - Daily,,,,,,,,,,,,
XAO 4526.8 at 16:43 1/9/2010  Report at 19:06 Wednesday 1/9/2010. Processed 19:14 Wednesday 1/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.12,,,,,,,,,,,,
MQGWOU,34.00,25/11/10,6:1,0.26,0.265,-,-,-,,,,
MQGWOT,38.00,25/11/10,6:1,0.54,0.545,-,-,-,,,,
MQGWOQ,42.00,25/11/10,6:1,1.005,1.01,-,-,-,,,,
National Aust Bank Last Sale Price $23.85,,,,,,,,,,,,
NABVZW,23.00,23/09/10,4:1,0.069,0.088,0.155,-,-,,,,
NABWOV,24.00,23/09/10,4:1,0.215,0.22,0.275,-,-,,,,
NABWOW,25.50,23/09/10,4:1,0.455,0.46,0.64,-,-,,,,
NABWOX,27.50,23/09/10,4:1,0.92,0.925,1.115,-,-,,,,
NABVZX,21.00,28/10/10,4:1,0.055,0.079,0.081,-,-,,,,
NABVOP,18.50,25/11/10,4:1,0.053,0.058,-,-,-,,,,
NABWOZ,20.00,25/11/10,4:1,0.105,0.11,-,-,-,,,,
NABWOY,22.00,25/11/10,4:1,0.23,0.235,0.26,-,-,,,,
NABWOR,24.00,25/11/10,4:1,0.455,0.46,-,-,-,,,,
NABWOQ,26.00,25/11/10,4:1,0.79,0.795,-,-,-,,,,
NABWOP,28.00,25/11/10,4:1,1.215,1.22,-,-,-,,,,
Newcrest Min Last Sale Price $37.90,,,,,,,,,,,,
NCMVZU,32.00,23/09/10,4:1,0.001,0.04,0.071,-,-,,,,
NCMWOS,28.00,28/10/10,4:1,0.017,0.027,0.017,-7.2,300,,,,
NCMWOR,32.00,28/10/10,4:1,0.066,0.071,0.066,-4.4,1200,,,,
NCMVZV,34.00,28/10/10,4:1,0.11,0.115,0.115,-,550,,,,
News Corp Last Sale Price $16.00,,,,,,,,,,,,
NWSUMQ,18.00,23/09/10,4:1,0.515,-,0.38,-,-,,,,
NWSVMP,20.00,23/09/10,4:1,1.005,-,-,-,-,,,,
Orica Ltd Last Sale Price $25.80,,,,,,,,,,,,
ORIUMP,23.47,23/09/10,4:1,0.021,0.03,0.13,-,-,,,,
