Industrial Market - Daily,,,,,,,,,,,,,,,,,,
XAO 4846.2 at 16:47 21/10/2009  Report at 19:05 Wednesday 21/10/2009. Processed 19:28 Wednesday 21/10/2009.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio,
0.018,0.003,0.013,0.01,BRD,Black Ridge Min,0.01,-0.2,11320,0.01,0.012,-,,-,-,-,-0.47,-
0.005,0.001,-,-,BRDOA,  opt nov10,0.001,,-,-,0.013,-,,-,-,-,-,-
22.70,10.77,22.70,22.40,BKL,Blackmores Ltd,22.70,30,23,22.70,22.80,96,f,1.33,3.46,4.23,127.5,17.8
0.016,0.003,-,-,BLZ,Blaze Intl,0.014,,-,0.014,0.015,-,,-,-,-,-0.06,-
0.002,0.002,-,-,BLZO,  opt aug10,0.002,,-,0.002,0.004,-,,-,-,-,-,-
0.196,0.016,0.021,0.021,BIV,Blue Capital Ltd,0.021,,330,0.021,0.022,-,,-,0.03,-,-0.79,-
4.16,1.675,3.38,3.32,BSL,BlueScope Steel,3.38,,113159,3.37,3.38,5,,-,2.46,1.48,-7.1,-
0.385,0.12,0.28,0.24,BLG,Bluglass Ltd,0.25,2,36271,0.245,0.26,-,,-,0.04,-,-5.06,-
0.049,0.029,-,-,BMI,BMDi Tuta Ltd,0.036,,-,0.035,0.036,-,,-,-,-,-1.14,-
0.508,0.054,0.31,0.305,BLY,Boart Longyear,0.305,,573034,0.305,0.31,2.87,,2.38,-0.10,9.41,6.84,4.5
0.30,0.10,-,-,BNE,Bone Medical Ltd,0.205,,-,0.21,0.32,-,,-,-0.01,-,-3.55,-
