Industrial Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
1.22,0.78,0.96,0.95,BFG,Bell Financial Grp,0.96,3,750,0.95,1,6.5,f,1.34,0.19,6.77,8.7,11
10.45,7.72,9.12,8.93,BEN,Bendigo & Adelaide,9.08,19,10306,9.06,9.1,60,f,1.41,5.44,6.61,84.4,10.8
0.052,0.021,0.028,0.026,BLT,Benitec,0.027,-0.1,25850,0.027,0.028,-,,-,-,-,-1.21,-
0.037,0.005,-,-,BLTO,  opt apr14,0.008,-,-,0.008,0.022,-,,-,-,-,-,-
0.003,0.001,-,-,BLTOA,  opt apr11,0.002,-,-,-,0.002,-,,-,-,-,-,-
0.29,0.22,0.25,0.245,BEL,Bentley Capital,0.25,1,400,0.245,0.25,2,f,0.3,0.44,8,0.61,41
0.6,0.405,-,-,BER,Berklee,0.51,-,-,0.53,0.55,2,,-,1.23,3.92,-0.5,-
8.51,7.81,7.97,7.88,QFN,BetaShares ASX Fin etf unt,7.97,16,386,7.84,7.97,-,,-,-,-,-,-
8.25,7.41,7.88,7.84,QRE,BetaShares ASX Res etf unt,7.88,5,380,7.82,7.87,-,,-,-,-,-,-
10.25,9.81,10.06,9.99,USD,Betashares Us Dollar etf unt,10,-8,8563,9.96,10.01,-,,-,-,-,-,-
0.8,0.62,-,-,BYI,Beyond Int'l,0.8,-,-,0.74,0.79,6,,1.51,0.47,7.5,9.04,8.8
0.006,0.001,-,-,BSI,Beyond Sportswear,0.001,-,-,0.001,0.002,-,,-,-0.01,-,0.07,1.4
0.22,0.15,0.19,0.185,BGL,BigAir Grp,0.19,1,2106,0.18,0.19,-,,-,0.03,-,1.65,11.5
12.32,7.27,7.9,7.64,BBG,Billabong Int'l,7.72,-10,5061,7.55,7.79,34,p,1.56,-0.44,4.4,53.2,14.5
0.2,0.08,-,-,BDM,BioDiem,0.18,-,-,0.17,0.19,-,,-,0.04,-,-3.07,-
0.006,0.006,-,-,BDMO,  opt may12,0.006,-,-,0.011,-,-,,-,-,-,-,-
0.095,0.02,-,-,BOD,bioMD,0.045,-,-,0.048,0.057,-,,-,0.01,-,-0.71,-
