ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 5, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4402.3 at 2012-04-05T16:35:50. Report at Thursday, April 5, 2012. Processed Saturday at 2012-04-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AEM,1916.50,72.836,34.980,.006,-,-,-.25,-,-,-,-,,Artist & Entertain,,.014,+.1,.012,.014,.014,.013,+8.09,.015,.004,,
AIO,12712.9,251.476,1004.62,4.623,.51,9.3,16.70,28.4,6.50,2.57,1.37,f,Asciano,†,4.74,-16,4.72,4.76,4.94,4.69,-2.87,5.145,3.99,,
AFA,283.407,4.253,4.012,.055,.11,1.6,7.97,2.3,-,-,-,,ASF Grp,,.18,+1,.18,.185,.18,.17,+6.28,.195,.087,,
ASZ,5286.42,29.984,16.932,.141,-,-,9.81,8.4,7.50,1.31,9.15,f,ASG Grp,,.82,-1,.82,.825,.85,.82,-.81,1.12,.75,,
AJJ,35.819,.150,2.885,.017,.01,9.0,.67,13.4,.30,2.23,3.33,,Asia Liver Trans,,.09,-,.083,.115,.09,.09,+.40,.16,.08,,
AUF,66.630,1.099,2.086,.139,.85,1.1,-.42,-,3.00,-,3.23,,Asian Masters Fund,,.93,+2,-,-,.93,.92,+2.60,1.06,.85,,
AKF,-,2.042,1.424,.011,.21,.8,-17.03,-,-,-,-,,ASK Funding,,.16,-,-,-,.16,.16,+.40,.16,.07,,
APZ,903.461,52.310,42.022,.292,.68,.7,3.68,13.3,4.20,.88,8.57,,Aspen Grp,,.49,-.5,.485,.49,.495,.48,-.61,.51,.355,,
ASP,-,.728,1.525,.027,-,-,.44,26.1,-,-,-,,Aspermont,,.115,-,-,-,.115,.115,+.40,.14,.079,,
AIR,47.648,1.154,1.098,.012,.54,.9,6.60,7.6,4.00,1.65,8.00,,Astivita Renewables,,.50,+5,.45,.50,.51,.50,+11.51,1.25,.30,,
AJA,161.619,5.383,16.908,.151,4.78,.5,-65.64,-,30.00,-,11.58,,Astro Japan Prop Grp,,2.59,-5,2.56,2.73,2.76,2.54,-1.49,3.18,1.885,,
ATR,36.160,.880,.969,.165,3.26,.8,-.07,-,-,-,-,,Astron,,2.70,-9,2.51,2.70,2.79,2.70,-2.83,3.25,2.50,,
ASX,2820.79,47.891,55.382,5.648,3.91,8.2,203.20,15.9,185.80,1.09,5.76,f,ASX,,32.25,-95,32.23,32.31,33.49,32.14,-2.46,33.75,25.83,,
ACG,-,2.544,12.955,.011,.02,4.0,-1.94,-,-,-,-,,Atcor Medical,,.079,-,.066,.079,.079,.079,+.40,.165,.062,,
ATP,295.700,8.304,3.512,.013,.14,.4,.39,14.9,-,-,-,,Atlas Southsea Pearl,,.058,-,.057,.059,.059,.056,+.40,.127,.050,,
AIA,8.312,3.255,2.990,2.562,1.42,1.4,6.09,31.7,7.08,.86,3.67,,Auckland Airport,,1.93,-1,1.51,1.95,1.945,1.93,-.12,1.96,1.61,,
AKP,3.400,.410,.351,.149,.16,39.9,-12.77,-,-,-,-,,Audio Pixels,,6.38,+38,6.10,6.37,6.40,6.00,+6.73,9.65,5.80,,
AUP,1.106,.202,.108,.014,5.06,1.0,-,-,41.60,-,8.39,,Aurora Prop,,4.96,-8,4.96,5.04,5.04,4.96,-1.19,5.38,4.68,,
