ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5254.3 at 2014-01-24T16:41:36. Report at Friday, January 24, 2014. Processed Saturday at 2014-01-25T23:15:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AIX,10770.3,33.181,100.162,.003,.21,.02,27.12,.0,5.50,4.93,1100.00,f,Aust Infrastructure Fd,,.005,+.1,.005,.006,.006,.005,+26.17,.009,.00,,
ALF,1369.91,4.402,1.458,.341,1.53,1.08,26.28,6.3,12.00,2.19,7.23,f,Aust Leaders Fund,,1.66,-,1.655,1.66,1.68,1.65,+1.17,1.84,1.317,,
ALFO,573.753,1.286,-,.014,-,-,-,-,-,-,-,,  opt sep14,,.29,-1.5,.28,.29,.30,.275,-3.75,.425,.095,,
API,2001.98,10.194,9.792,.295,.77,.79,5.00,12.1,3.25,1.54,5.37,f,Aust Pharmaceutical,,.605,+2,.60,.605,.61,.58,+4.59,.67,.395,,
AYB,-,.417,.533,.011,.07,1.01,-2.74,-,-,-,-,,Aust Proteins,,.071,-,.071,.08,.071,.071,+1.17,.083,.035,,
AUI,31.917,.124,.128,.860,8.53,.93,33.40,23.8,29.50,1.13,3.71,f,Aust United Invest,,7.95,-5,7.95,8.03,8.11,7.93,+.54,8.11,6.57,,
AVG,622.268,1.818,.661,.102,1.11,.40,5.30,8.3,2.60,2.04,5.91,f,Aust Vintage,,.44,-.5,.44,.445,.45,.44,+.05,.501,.405,,
AWI,296.834,1.829,-,.057,.38,1.24,-24.57,-,-,-,-,,Aust Wealth Invest,,.47,-1.5,.44,.47,.48,.45,-1.99,.56,.241,,
ASB,857.672,5.630,5.758,.322,1.14,.82,13.20,7.0,-,-,-,,Austal,,.93,+4.5,.91,.935,.93,.86,+6.25,.93,.575,,
AUB,172.105,.360,.664,.677,1.28,8.87,72.20,15.7,35.50,2.03,3.13,f,Austbrokers Hldgs,,11.35,+3,11.35,11.43,11.53,11.15,+1.43,13.00,8.06,,
