Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
49,49,JHX,James Hardie Ind,7.033,15.78,+35,15.86,11.16,43.98,,2.79,2.79,151.0,16.58,95.2,78.9,-,.74,11.4,32.9,,
50,48,DXS,DEXUS Prop Grp,7.027,7.76,+16,8.25,1.075,38.82,,5.00,5.00,4.3,42.27,18.4,-26.7,1.156,6.47,28.6,20.7,,
51,51,AFI,Aust Foundation,6.779,6.22,-,6.35,5.80,23.00,f,3.70,5.28,-,23.54,26.4,3.6,1.310,6.29,7.7,18.5,,
52,52,MPL,Medibank Private,6.582,2.39,+1,2.59,2.08,-,,-,-,-,5.20,46.0,-,4.702,.38,-,-,,
53,53,REA,REA Grp,6.528,49.56,+3,51.38,39.45,64.50,f,1.30,1.86,37.4,155.90,31.8,36.5,15.668,3.04,1.0,54.2,,
54,54,TOL,Toll Hldgs,6.428,8.96,+3,8.98,5.01,28.00,f,3.13,4.46,3.7,34.60,25.9,5.5,2.334,1.60,78.1,20.3,,
55,55,AIO,Asciano,6.340,6.50,+11,6.64,5.19,16.75,f,2.58,3.68,23.9,26.10,24.9,.7,1.730,.93,30.1,12.9,,
56,57,TTS,Tatts Grp,5.872,4.06,+5,4.16,2.91,14.50,f,3.57,5.10,-12.9,15.10,26.9,-7.8,2.014,-1.19,41.7,23.1,,
57,56,SEK,Seek,5.853,17.01,+6,18.99,15.17,35.00,f,2.06,2.94,36.4,57.70,29.5,21.0,4.164,-.13,4.6,39.2,,
58,60,BEN,Bendigo&Adelaide Bk,5.703,12.59,+16,14.45,10.86,66.00,f,5.24,7.49,4.9,94.40,13.3,12.2,1.179,7.22,20.4,26.1,,
59,59,FMG,Fortescue Metals Grp,5.652,1.815,-.5,5.40,1.79,13.00,f,7.16,10.23,100.0,44.86,4.0,75.0,.774,2.96,-60.2,-27.7,,
60,58,FBU,Fletcher Bldg,5.572,8.10,-17,9.18,7.40,31.40,,3.88,3.88,19.7,41.09,19.7,22.0,1.847,2.59,.1,21.9,,
61,61,SPK,Spark New Zealand,5.394,2.94,-7,3.35,2.39,16.82,,5.72,5.72,20.1,22.73,12.9,5.4,3.445,.22,38.1,24.1,,
62,64,AIA,Auckland Airport,5.357,4.50,+8,4.61,3.29,13.31,,2.96,2.96,-35.8,17.05,26.4,25.8,1.896,2.34,26.1,35.2,,
63,62,ALL,Aristocrat Leisure,5.318,8.39,-2,8.57,4.84,16.00,,1.91,1.91,-3.0,-2.90,-,48.8,6.957,.91,48.0,40.6,,
64,63,ARG,Argo Invest,5.313,7.97,-1,8.44,7.20,28.50,f,3.58,5.11,5.7,30.20,26.4,8.9,1.237,7.92,13.4,19.9,,
65,68,BOQ,Bank of Qld,5.200,14.17,+42,14.73,11.45,70.00,f,4.94,7.06,248.2,77.60,18.3,15.4,1.601,7.01,21.4,34.6,,
66,67,AST,AusNet Services,5.183,1.495,+1.5,1.515,1.29,8.36,p,5.59,6.62,2.0,3.09,48.4,-18.1,1.429,.86,15.2,17.5,,
