Australian Sharemarket: Top 300 Stocks
"Based on Market Capitalisation at close of trade Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:53 PM."



This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
117,117,PPT,Perpetual,2.092,44.91,+31,58.48,37.25,240.00,f,5.34,7.63,37.1,273.70,16.4,18.8,3.559,5.16,1.1,21.7,
118,122,GNC,GrainCorp,2.071,9.05,+10,10.36,7.67,12.50,f,1.38,1.97,-50.0,13.40,67.5,-45.8,1.174,5.63,3.7,-6.8,
119,121,BWP,BWP Trust,2.068,3.22,+3,3.44,2.48,15.84,,4.92,4.92,7.7,32.84,9.8,6.1,1.421,2.24,33.5,22.4,
120,119,XRO,Xero,2.049,15.00,-13,25.60,11.90,-,,-,-,-,-53.95,-,98.3,6.096,-,6.6,-,
121,106,EVN,Evolution Mining,2.028,1.405,-20.5,1.685,.435,2.00,,1.42,1.42,7.0,13.71,10.2,91.4,2.066,1.32,192.7,-3.0,
122,120,SGM,Sims Metal Mgt,2.021,9.84,-17,13.05,8.90,29.00,f,2.95,4.21,190.0,53.69,18.3,49.0,.973,9.19,-7.8,3.2,
123,127,APE,AP Eagers,1.964,10.67,+51,10.89,5.60,30.00,f,2.81,4.02,17.4,48.80,21.9,21.0,3.164,2.61,86.3,44.6,
124,118,PRY,Primary Health Care,1.935,3.71,-27,5.52,3.63,20.00,p,5.39,7.06,-,26.70,13.9,62.7,.848,1.32,-10.7,4.9,
125,123,MYO,MYOB Grp,1.923,3.29,-16,3.92,2.98,-,,-,-,-,-15.00,-,-,-,-.68,-,-,
126,125,SUL,Super Retail Grp,1.905,9.66,+6,10.96,6.70,40.00,f,4.14,5.92,-,41.20,23.4,-,2.473,.22,33.5,5.2,
127,132,EBO,EBOS Grp,1.883,12.70,+63,12.72,8.382,39.07,,3.08,3.08,-39.8,62.69,20.3,-.2,1.923,.53,47.2,-,
128,129,CHC,Charter Hall Grp,1.837,4.49,+6,5.395,4.14,24.20,,5.39,5.39,8.5,32.80,13.7,33.5,1.510,2.76,6.9,17.9,
129,130,MTU,M2 Grp,1.815,9.90,+11,11.79,7.695,32.00,f,3.23,4.62,23.1,40.54,24.4,-21.5,5.011,-,28.8,41.6,
130,133,ABP,Abacus Prop,1.811,3.27,+4,3.41,2.670,17.00,,5.20,5.20,1.9,25.46,12.8,19.9,1.244,2.49,26.8,23.8,
131,128,JBH,JB Hi-Fi,1.776,17.96,-48,22.37,15.06,90.00,f,5.01,7.16,7.1,137.91,13.0,8.4,5.308,2.44,24.1,27.7,
132,137,REG,Regis Healthcare,1.757,5.85,+12,6.52,3.75,17.60,p,3.01,3.83,-,21.16,27.6,-,8.226,-.20,39.3,-,
133,136,GMA,Genworth Mortg Ins,1.755,2.70,+2,3.893,2.21,25.60,f,9.48,13.54,-,60.76,4.4,-,.697,3.79,-13.7,-,
134,135,CMW,Cromwell Property,1.754,1.005,+.5,1.20,.94,7.91,,7.87,7.87,3.1,8.58,11.7,-12.1,1.348,.65,9.0,14.6,
135,134,GOZ,Growthpoint Prop,1.753,3.08,-2,3.39,2.70,29.60,,9.61,9.61,3.7,25.70,12.0,13.8,1.250,2.16,15.8,22.4,
136,131,GNE,Genesis Energy,1.750,1.75,-4.5,2.45,1.455,14.98,,8.56,8.56,143.9,9.29,18.8,22.1,1.111,1.51,9.2,-,
137,140,VAH,Virgin Australia,1.693,.48,+.5,.56,.375,-,,-,-,-,-3.20,-,-,1.642,.15,23.4,-.5,
138,139,IFZ,Infratil,1.689,2.80,-,3.03,2.007,7.39,,2.64,2.64,15.2,66.99,4.2,-94.1,.674,2.16,34.8,33.3,
139,141,SKT,Sky Network TV,1.677,4.31,+6,6.15,4.15,27.96,,6.49,6.49,3.0,39.04,11.0,4.8,1.397,.24,-21.4,7.3,
140,144,CQR,Charter Hall Ret REIT,1.658,4.24,+9,4.67,3.78,27.50,,6.49,6.49,-,43.55,9.7,3.9,1.202,3.59,8.8,12.0,
141,126,NST,Northern Star Res,1.656,2.76,-37,3.26,.915,5.00,f,1.81,2.59,42.9,15.50,17.8,129.7,5.810,.55,190.2,38.3,
142,138,WOR,WorleyParsons,1.597,6.52,-50,13.75,5.81,56.00,,8.59,8.77,-34.1,-22.22,-,-24.2,.852,-,-44.8,-30.7,
143,146,NHC,New Hope Corp,1.596,1.92,-,2.67,1.60,6.50,f,3.39,4.83,-18.8,-2.60,-,-61.7,.861,2.21,-10.4,-20.6,
144,150,AOG,Aveo Grp,1.587,3.08,+14,3.085,1.94,5.00,,1.62,1.62,25.0,11.60,26.6,28.3,1.006,2.85,44.8,31.5,
145,142,NHF,NIB Hldgs,1.585,3.61,-15,3.885,3.00,11.50,f,3.19,4.55,4.5,17.30,20.9,8.5,4.795,.58,18.8,33.9,
146,147,NVT,Navitas,1.582,4.20,+3,5.48,3.78,19.50,f,4.64,6.63,-,19.10,22.0,11.2,7.601,-.54,-17.4,4.2,
147,148,OGC,OceanaGold Corp,1.550,2.57,-,3.37,1.81,3.84,,1.49,1.49,-,35.43,7.3,-,1.828,-,30.5,-7.9,
148,145,DOW,Downer EDI,1.536,3.55,-20,5.22,3.23,24.00,f,6.76,9.66,4.3,46.60,7.6,-2.4,.797,2.58,-16.1,6.7,
149,149,PGH,Pact Grp Hldgs,1.511,5.13,-6,5.25,3.80,19.50,p,3.80,4.34,105.3,23.00,22.3,-32.0,4.677,.04,41.9,-,
150,152,VOC,Vocus Comms,1.507,6.51,+3,6.59,5.25,3.20,f,.49,.70,77.8,19.31,33.7,75.3,7.643,.70,11.8,54.1,
151,151,IRE,IRESS,1.503,9.39,+1,11.29,8.86,41.50,p,4.42,5.25,9.2,31.50,29.8,21.9,4.536,-.55,-1.0,12.7,
152,154,SCP,SCA Property Grp,1.493,2.06,+6,2.24,1.70,11.40,,5.53,5.53,3.6,22.90,9.0,-34.9,1.135,1.77,16.9,-,
153,153,SVW,Seven Grp Hldgs,1.456,5.05,-1,7.75,4.26,40.00,f,7.92,11.31,-,-129.00,-,-37.9,.511,5.67,-20.3,-4.6,
154,143,IGO,Independence Grp,1.417,2.77,-41,6.21,2.49,8.50,f,3.07,4.38,6.3,32.78,8.5,64.2,2.444,2.84,-28.4,-5.9,
155,155,CSR,CSR,1.402,2.77,-8,4.43,2.69,20.00,,7.22,7.22,100.0,24.90,11.1,104.2,1.196,2.17,-12.7,22.2,
