Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, February 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5366.9 at 2014-02-14T16:38:06. Report at Friday, February 14, 2014. Processed Saturday at 2014-02-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
138,141,MQA,Macq Atlas Roads,1.442,2.96,+26,2.97,1.495,5.70,,1.93,1.93,-,282.68,1.0,-45.8,-,1.67,86.1,22.5,,
139,134,MND,Monadelphous Grp,1.440,15.60,+15,28.48,14.63,137.00,f,8.78,12.55,9.6,173.03,9.0,22.3,4.675,3.33,-33.1,-2.5,,
140,139,AGI,Ainsworth Game Tech,1.401,4.35,+11,4.79,3.07,8.00,,1.84,1.84,-,16.00,27.2,-26.3,6.853,.54,25.0,170.2,,
141,140,ZNZ,Z Energy,1.384,3.46,+6,3.61,3.00,-,,-,-,-,-,-,-,2.889,-,-,-,,
142,142,CQR,Charter Hall Ret REIT,1.328,3.66,+9,4.49,3.50,27.15,,7.42,7.42,2.7,16.24,22.5,2.5,1.185,3.32,-.4,12.7,,
143,143,AHD,Amalgamated Hldgs,1.288,8.16,+2,8.92,7.45,42.00,f,5.15,7.35,7.7,54.30,15.0,3.6,1.431,5.36,4.8,16.2,,
144,156,MGX,Mount Gibson Iron,1.287,1.18,+15.5,1.187,.405,4.00,f,3.39,4.84,-,14.45,8.2,-46.4,1.089,.48,71.3,-12.4,,
145,163,HTA,Hutchison,1.276,.094,+1.7,.14,.028,-,,-,-,-,-2.64,-,133.9,1.443,.06,226.8,-2.0,,
146,145,FXL,FlexiGroup,1.238,4.07,-3,4.99,3.70,15.50,f,3.81,5.44,16.0,23.60,17.2,16.6,3.395,.85,4.3,35.1,,
147,146,IFZ,Infratil,1.236,2.05,-,2.15,1.367,8.35,,4.07,4.07,17.7,37.65,5.4,-23.2,.796,1.28,49.0,16.0,,
148,151,PMV,Premier Invest,1.229,7.91,+36,8.86,6.01,38.00,f,4.80,6.86,5.6,112.37,7.0,-63.9,.945,2.87,4.6,16.1,,
149,168,PNA,PanAust,1.223,1.97,+33,3.21,1.45,7.00,,3.55,3.55,-,19.24,10.2,8.3,1.240,1.78,-26.5,-20.2,,
150,152,VAH,Virgin Australia,1.213,.345,+1.5,.472,.28,-,,-,-,-,-4.10,-,-,1.166,.28,-15.5,-,,
151,147,MEZCA,Meridian Energy,1.205,.96,+1,.98,.82,-,,-,-,-,-,-,-,.318,-,-,-,,
152,149,CHC,Charter Hall Grp,1.203,3.89,+8,4.68,3.43,21.40,,5.50,5.50,11.0,18.29,21.3,13.4,1.626,2.13,9.4,25.2,,
153,144,GFF,Goodman Fielder,1.193,.61,-3,.83,.567,4.00,,6.56,6.56,-,-.60,-,-45.8,.768,-.01,-14.1,-15.5,,
154,166,OZL,OZ Minerals,1.193,3.93,+52,7.51,2.11,20.00,,5.09,5.09,-33.3,-97.10,-,-,.512,6.84,-35.2,-34.4,,
155,160,IIN,iiNet,1.190,7.38,+62,7.53,4.16,19.00,f,2.57,3.68,35.7,37.80,19.5,57.0,3.669,-1.28,52.1,49.5,,
156,148,EBO,EBOS Grp,1.188,8.05,-,8.30,8.05,-,,-,-,-,-,-,-,-,-,-,-,,
157,153,VRL,Village Roadshow,1.180,7.40,+13,7.777,4.193,26.00,f,3.51,5.02,18.2,32.70,22.6,5.4,2.063,1.54,72.9,47.1,,
158,150,UGL,UGL,1.179,7.08,+3,11.90,6.04,39.00,,5.51,6.54,-44.3,21.90,32.3,-45.4,1.043,-2.13,-27.9,-19.7,,
159,155,IVC,InvoCare,1.167,10.61,+22,12.49,9.75,34.00,f,3.20,4.58,14.3,41.60,25.5,58.5,7.686,.36,-2.3,16.4,,
160,154,GOZ,Growthpoint Prop,1.146,2.41,-,2.675,2.287,18.70,,7.76,7.76,4.0,23.70,10.2,11.4,1.365,2.00,9.3,17.9,,
