Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, July 31, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5681.7 at 2015-07-31T16:43:36. Report at Friday, July 31, 2015. Processed Saturday at 2015-08-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
194,194,MND,Monadelphous Grp,.797,8.55,-15,16.50,7.87,109.00,f,12.75,18.21,-10.2,129.51,6.6,-11.9,2.197,3.93,-41.4,-20.9,,
195,208,GUD,GUD Hldgs,.795,9.35,+103,9.82,6.24,42.00,f,4.49,6.42,16.7,42.50,22.0,10.0,2.234,1.16,31.5,11.1,,
196,195,IPH,IPH,.794,4.89,-1,5.19,2.96,3.50,p,.72,.93,-,8.20,59.6,-,-,-,-,-,,
197,196,SNZ,Summerset Grp,.791,3.61,-,3.61,2.20,2.77,,.77,.77,10.7,24.05,15.0,13.9,2.489,1.47,21.5,-,,
198,191,API,Aust Pharmaceutical,.776,1.59,-12,1.905,.555,4.00,f,2.52,3.59,-,6.80,23.4,-,1.614,.64,174.3,74.5,,
199,200,AAC,Aust Agriculture,.762,1.43,+2,1.69,1.20,-,,-,-,-,1.80,79.4,-,1.000,1.43,15.3,11.2,,
200,202,CVO,Cover-More Grp,.759,2.39,+8,2.55,1.706,7.20,f,3.01,4.30,-,3.70,64.6,-,3.669,-.15,38.4,-,,
201,199,ECX,Eclipx Grp,.752,3.13,-2,3.28,2.60,-,,-,-,-,-,-,-,1.454,-,-,-,,
202,201,DUI,Diversified United Inv,.751,3.64,-,3.850,3.27,14.00,f,3.85,5.49,3.7,15.50,23.5,10.6,1.343,3.68,2.0,18.2,,
203,210,MYR,Myer Hldgs,.738,1.26,+7.5,2.52,1.165,12.50,f,9.92,14.17,-19.4,13.60,9.3,-24.4,.826,-.02,-40.3,-4.6,,
204,207,APN,APN News & Media,.736,.715,+2,1.08,.62,-,,-,-,-,1.17,61.1,-21.6,1.558,-.25,-9.5,14.6,,
205,206,JHC,Japara Healthcare,.734,2.79,+7,2.89,1.825,5.50,,1.97,1.97,-,6.00,46.5,-,1.428,.45,22.1,-,,
206,213,SXL,Sthn Cross Media,.727,.965,+5,1.205,.79,6.00,f,6.22,8.88,-16.7,-43.58,-,-21.2,.599,-.54,-15.6,-.3,,
207,214,BGA,Bega Cheese,.726,4.76,+26,5.46,4.26,8.50,f,1.79,2.19,13.3,35.11,13.6,16.8,2.310,1.94,-.8,50.1,,
208,205,WSA,Western Areas,.723,3.10,+1,5.30,2.66,10.00,f,3.23,4.61,150.0,21.40,14.5,457.6,1.913,1.70,-37.6,-2.7,,
209,198,OGC,OceanaGold Corp,.723,2.38,-19,3.37,1.81,3.84,,1.61,1.61,-,45.18,5.3,-,.852,2.82,-22.3,6.0,,
210,204,ZIM,Zimplats Hldgs,.721,6.70,-,9.06,7.00,-,,-,-,-,67.29,10.0,40.1,.661,-,-25.1,-5.7,,
211,203,LEP,ALE Prop Grp,.714,3.65,-4,3.94,3.00,16.85,,4.62,4.62,2.8,15.98,22.8,-33.0,1.893,1.96,27.6,27.4,,
